block_group,driving,bicycling,transit,walking,mode_index,mode_index_scaled
530330020003,0.6628571428571429,0.6,0.9514285714285714,0.56,0.6935714285714286,0.5947204968944099
530330028001,0.5914285714285714,0.6,0.942857142857143,0.52,0.6635714285714286,0.5295031055900621
530330103001,0.4857142857142857,0.48,0.9285714285714286,0.48,0.5935714285714286,0.3773291925465839
530330104023,0.6114285714285714,0.56,0.942857142857143,0.48,0.6485714285714286,0.4968944099378881
530330080012,0.7742857142857144,0.8,1.0,0.76,0.8335714285714286,0.8990683229813664
530330022001,0.56,0.48,0.7571428571428571,0.4,0.5492857142857143,0.2810559006211179
530330056001,0.4085714285714285,0.4,0.7285714285714286,0.24,0.4442857142857143,0.05279503105590064
530330080021,0.7857142857142857,0.8,1.0,0.8,0.8464285714285715,0.9270186335403726
530330042002,0.5371428571428571,0.52,0.9257142857142856,0.52,0.6257142857142857,0.44720496894409917
530330069004,0.52,0.6,0.9514285714285714,0.48,0.6378571428571429,0.47360248447204967
530330049004,0.62,0.56,0.9714285714285714,0.48,0.6578571428571429,0.517080745341615
530330082002,0.9,0.8,1.0,0.8,0.875,0.9891304347826084
530330058013,0.4714285714285715,0.48,0.8685714285714287,0.4,0.555,0.2934782608695653
530330004011,0.5542857142857143,0.56,0.8542857142857143,0.48,0.6121428571428571,0.4177018633540371
530330084003,0.8942857142857144,0.84,1.0,0.76,0.8735714285714287,0.9860248447204969
530330087002,0.7542857142857143,0.8,0.9971428571428572,0.72,0.8178571428571428,0.8649068322981364
530330077002,0.6685714285714286,0.72,0.98,0.56,0.7321428571428571,0.6785714285714283
530330032007,0.48,0.48,0.8171428571428571,0.48,0.5642857142857143,0.31366459627329185
530330044002,0.6542857142857144,0.6,0.9714285714285714,0.52,0.6864285714285715,0.579192546583851
530330041003,0.5057142857142857,0.52,0.8542857142857143,0.44,0.5800000000000001,0.34782608695652184
530330072001,0.7942857142857143,0.8,1.0,0.76,0.8385714285714285,0.9099378881987574
530330105004,0.5971428571428572,0.56,0.9457142857142856,0.48,0.6457142857142858,0.4906832298136647
530330005003,0.5571428571428572,0.56,0.6685714285714286,0.48,0.5664285714285715,0.31832298136645976
530330060003,0.6171428571428571,0.6,0.9542857142857144,0.48,0.6628571428571428,0.527950310559006
530330053023,0.6971428571428571,0.52,1.0,0.52,0.6842857142857143,0.574534161490683
530330011001,0.5771428571428572,0.56,0.8914285714285713,0.52,0.6371428571428571,0.4720496894409936
530330046003,0.7,0.6,0.9342857142857144,0.52,0.6885714285714285,0.5838509316770184
530330044004,0.6857142857142857,0.64,0.9857142857142857,0.52,0.7078571428571429,0.6257763975155278
530330046001,0.6714285714285714,0.6,0.92,0.48,0.6678571428571428,0.5388198757763973
530330078004,0.5628571428571428,0.68,0.9142857142857144,0.52,0.6692857142857143,0.5419254658385091
530330078003,0.5971428571428572,0.8,0.9342857142857144,0.56,0.7228571428571429,0.6583850931677018
530330109001,0.5971428571428572,0.52,0.9285714285714286,0.36,0.6014285714285714,0.39440993788819867
530330031005,0.4828571428571429,0.48,0.7228571428571429,0.44,0.5314285714285715,0.24223602484472057
530330017022,0.5571428571428572,0.56,0.9142857142857144,0.52,0.6378571428571429,0.47360248447204967
530330051001,0.6971428571428571,0.6,0.9714285714285714,0.52,0.6971428571428572,0.6024844720496894
530330114023,0.52,0.52,0.8857142857142857,0.48,0.6014285714285714,0.39440993788819867
530330100012,0.7457142857142857,0.6,0.962857142857143,0.48,0.6971428571428572,0.6024844720496894
530330052002,0.7,0.56,0.9885714285714288,0.52,0.6921428571428572,0.5916149068322981
530330075005,0.8485714285714286,0.84,1.0,0.76,0.8621428571428571,0.9611801242236021
530330083002,0.8828571428571429,0.8,1.0,0.76,0.8607142857142858,0.9580745341614906
530330010002,0.58,0.52,0.8514285714285714,0.48,0.6078571428571429,0.40838509316770183
530330113003,0.5285714285714286,0.52,0.9228571428571428,0.48,0.6128571428571429,0.4192546583850931
530330098001,0.6371428571428571,0.48,0.8342857142857143,0.56,0.6278571428571429,0.4518633540372671
530330104012,0.5885714285714285,0.56,0.9571428571428572,0.48,0.6464285714285715,0.49223602484472045
530330117001,0.5514285714285715,0.48,0.9571428571428572,0.44,0.6071428571428572,0.406832298136646
530330054004,0.7485714285714287,0.52,0.98,0.52,0.6921428571428572,0.5916149068322981
530330057005,0.4628571428571429,0.48,0.8714285714285714,0.36,0.5435714285714286,0.2686335403726708
530330047004,0.48,0.48,0.9228571428571428,0.44,0.5807142857142857,0.3493788819875776
530330034002,0.56,0.56,0.937142857142857,0.48,0.6342857142857142,0.46583850931676996
530330081003,0.7742857142857144,0.8,1.0,0.8,0.8435714285714286,0.920807453416149
530330001004,0.56,0.48,0.9114285714285714,0.44,0.5978571428571429,0.3866459627329192
530330097014,0.5314285714285715,0.48,0.8,0.48,0.572857142857143,0.33229813664596286
530330045001,0.7085714285714286,0.64,0.9685714285714286,0.52,0.7092857142857144,0.6288819875776399
530330014002,0.56,0.56,0.8571428571428571,0.56,0.6342857142857143,0.46583850931677023
530330100021,0.8028571428571429,0.72,0.98,0.56,0.7657142857142857,0.7515527950310557
530330264004,0.5628571428571428,0.44,0.7085714285714286,0.36,0.5178571428571429,0.21273291925465845
530330058022,0.5228571428571428,0.48,0.9514285714285714,0.48,0.6085714285714285,0.4099378881987576
530330074023,0.9085714285714286,0.84,1.0,0.76,0.8771428571428572,0.9937888198757763
530330024001,0.5857142857142857,0.52,0.8571428571428571,0.48,0.6107142857142858,0.4145962732919255
530330102003,0.4885714285714286,0.48,0.9028571428571428,0.48,0.5878571428571429,0.3649068322981366
530330113001,0.5257142857142857,0.48,0.7828571428571429,0.44,0.5571428571428572,0.2981366459627329
530330025002,0.6542857142857144,0.6,0.962857142857143,0.52,0.6842857142857144,0.5745341614906834
530330068002,0.5457142857142857,0.64,0.96,0.52,0.6664285714285715,0.5357142857142857
530330105003,0.5342857142857143,0.48,0.8714285714285714,0.48,0.5914285714285714,0.372670807453416
530330075002,0.7714285714285714,0.84,1.0,0.76,0.8428571428571427,0.9192546583850927
530330070004,0.5942857142857143,0.68,0.9542857142857144,0.56,0.6971428571428572,0.6024844720496894
530330056005,0.4971428571428572,0.44,0.937142857142857,0.28,0.5385714285714285,0.25776397515527927
530330118005,0.5114285714285715,0.48,0.917142857142857,0.44,0.5871428571428571,0.36335403726708054
530330085003,0.92,0.8,1.0,0.8,0.8800000000000001,1.0
530330043022,0.5714285714285715,0.52,0.98,0.52,0.6478571428571429,0.4953416149068323
530330027002,0.6914285714285714,0.6,0.94,0.56,0.6978571428571428,0.6040372670807451
530330078001,0.5571428571428572,0.64,0.9114285714285714,0.48,0.6471428571428571,0.4937888198757763
530330080022,0.5257142857142857,0.76,1.0,0.72,0.7514285714285713,0.7204968944099375
530330029003,0.5514285714285715,0.56,0.94,0.48,0.6328571428571429,0.46273291925465837
530330067003,0.702857142857143,0.72,0.9885714285714288,0.6,0.752857142857143,0.7236024844720498
530330057001,0.44,0.4,0.6542857142857144,0.24,0.4335714285714286,0.029503105590062216
530330074012,0.8457142857142856,0.84,1.0,0.76,0.8614285714285714,0.9596273291925463
530330089002,0.6514285714285714,0.76,0.962857142857143,0.56,0.7335714285714287,0.6816770186335404
530330001002,0.5571428571428572,0.52,0.937142857142857,0.44,0.6135714285714285,0.42080745341614895
530330068001,0.6314285714285715,0.64,0.96,0.52,0.6878571428571428,0.5822981366459625
530330117003,0.5514285714285715,0.48,0.9342857142857144,0.44,0.6014285714285714,0.39440993788819867
530330085002,0.8342857142857143,0.8,1.0,0.8,0.8585714285714285,0.9534161490683227
530330102001,0.48,0.48,0.8314285714285714,0.48,0.5678571428571428,0.32142857142857134
530330065003,0.8257142857142857,0.84,0.9971428571428572,0.72,0.8457142857142856,0.9254658385093164
530330106001,0.5771428571428572,0.52,0.9,0.48,0.6192857142857143,0.4332298136645963
530330063001,0.4885714285714286,0.28,0.9114285714285714,0.24,0.48,0.13043478260869562
530330017024,0.56,0.56,0.8942857142857144,0.52,0.6335714285714286,0.4642857142857142
530330049003,0.6114285714285714,0.56,0.9685714285714286,0.48,0.655,0.5108695652173912
530330063002,0.5657142857142857,0.44,0.8857142857142857,0.48,0.5928571428571429,0.3757763975155279
530330062001,0.8028571428571429,0.52,0.9742857142857144,0.52,0.7042857142857143,0.6180124223602483
530330103002,0.5028571428571429,0.48,0.9257142857142856,0.48,0.5971428571428572,0.3850931677018634
530330074013,0.8714285714285714,0.84,0.9971428571428572,0.76,0.867142857142857,0.9720496894409932
530330033003,0.4914285714285714,0.48,0.9342857142857144,0.44,0.5864285714285714,0.3618012422360247
530330110011,0.5428571428571428,0.48,0.9485714285714286,0.48,0.6128571428571428,0.4192546583850929
530330039001,0.6085714285714285,0.52,0.8942857142857144,0.48,0.6257142857142858,0.44720496894409945
530330049005,0.6428571428571429,0.6,0.9885714285714288,0.48,0.6778571428571428,0.5605590062111799
530330060002,0.7257142857142856,0.6,0.9685714285714286,0.52,0.7035714285714286,0.6164596273291926
530330058023,0.5342857142857143,0.68,0.9457142857142856,0.48,0.66,0.5217391304347826
530330059001,0.5142857142857143,0.52,0.94,0.48,0.6135714285714285,0.42080745341614895
530330079004,0.7857142857142857,0.84,0.9971428571428572,0.76,0.8457142857142856,0.9254658385093164
530330091002,0.7685714285714286,0.8,1.0,0.8,0.8421428571428571,0.9177018633540369
530330092001,0.8171428571428571,0.8,1.0,0.8,0.8542857142857143,0.9440993788819874
530330026003,0.68,0.6,0.942857142857143,0.52,0.6857142857142857,0.5776397515527949
530330090002,0.7771428571428571,0.8,0.9942857142857144,0.76,0.832857142857143,0.8975155279503105
530330039002,0.58,0.52,0.8857142857142857,0.48,0.6164285714285714,0.4270186335403726
530330053021,0.6428571428571429,0.56,0.9914285714285714,0.52,0.6785714285714286,0.5621118012422359
530330006005,0.5685714285714285,0.56,0.7685714285714286,0.52,0.6042857142857143,0.40062111801242234
530330096001,0.5914285714285714,0.48,0.7571428571428571,0.6,0.6071428571428571,0.4068322981366458
530330069001,0.5457142857142857,0.64,0.942857142857143,0.48,0.6521428571428571,0.5046583850931676
530330041002,0.52,0.36,0.8657142857142857,0.28,0.5064285714285715,0.187888198757764
530330064003,0.6857142857142857,0.8,0.9771428571428572,0.64,0.7757142857142857,0.7732919254658382
530330016003,0.5485714285714285,0.56,0.8571428571428571,0.48,0.6114285714285714,0.41614906832298126
