,mean_age,hhsize,mean_education_year,no_vehicle,prop_driving_broad,prop_driving_alone,prop_driving_with_others,prop_transit,prop_biking,prop_walking,prop_went_home,prop_went_work,prop_errands,prop_social,prop_gave_ride,mean_distance,mean_duration,proportion_white,proportion_black,proportion_asian,proportion_hispanic,proportion_female,100000_or_more,25000_49999,50000_74999,75000_99999,under_25000
family_woman,27.56876236515173,3.744390881415922,3.69008796216076,0.014139230633487565,0.695241419071296,0.6699293059120235,0.02531211315927264,0.0841303336934365,0.05662655804549896,0.1640016891897677,0.3645713586147906,0.24008481575981666,0.17446379846035565,0.09737392149108373,0.12350610567395252,7.138784381712059,13.301001778141279,0.6538576731500922,0.007697342013373041,0.16685082726136113,0.04563007021964813,0.46003750333591076,0.5909434671952878,0.015062521194749044,0.308863805233393,0.08173976172895916,0.0033904446476103905
fit_urbanite,32.496404439532924,1.6611673396707607,4.085982161765808,0.35596296429077057,0.10152117978822973,0.09114886513334056,0.010372314654889176,0.3285281988033292,0.11282628787046915,0.4571243335379732,0.3975126100134288,0.3758941155048183,0.15366839106325425,0.06639247022720293,0.006532413191295818,4.231496491789662,11.627911931759439,0.74153124696427,0.021556276223649508,0.21504685957634395,0.022057967555887167,0.5475455368711352,0.3029860778717758,0.278115019454201,0.2204375944347089,0.07392453738044025,0.1245367708588752
tired_commuter,32.60231547147364,1.434728479256313,4.313882108297402,0.25271409914372406,0.49087992027016336,0.40435990892815427,0.08652001134200903,0.14417611540845313,0.06110457188419748,0.303839392437187,0.3094226334774097,0.19307219713431067,0.21781500859444342,0.25261928184670057,0.027027558991517223,7.503569180885653,20.578634095863265,0.8449787974568652,0.03607671656947236,0.07221489268738579,0.051044386779428755,0.4770972916637125,0.2597578615674913,0.2420834118536919,0.07444321332286326,0.23026753816237822,0.19344797509357625
jolly_retiree,65.10610499142365,1.4159998404826235,3.8827194735475556,0.34094915243084556,0.4599679131220189,0.42408957101850253,0.035878342103516356,0.17354039416646477,0.0013924261028660176,0.3650992666086495,0.38877369679815954,0.018419919751935958,0.4551886383966439,0.11111635502464966,0.026501390028609784,3.1413428584451775,10.92551977521692,0.9042950694778252,0.005237720409716023,0.07067708785868934,0.011770002483476408,0.60469322511638,0.2222924790371818,0.21768576852285165,0.09391665272147766,0.15546670389891906,0.31063839581956887
olde_Seattlite,45.369903793142875,1.774997035978674,4.045184921104218,0.0,0.8778448591132024,0.8689851602434946,0.008859698869707876,0.04335552553877431,0.01579103873033013,0.06300857661769384,0.33699216747102895,0.35998017362493256,0.19395123553489457,0.0956803058731084,0.013396117496035717,35.75765637671431,22.593090079103483,0.8896554452719811,0.013889736612454231,0.06594639462916616,0.041349048739874626,0.3346555764932777,0.5624682494140829,0.09290044767681219,0.10913884962826681,0.08364707687108085,0.1518453764097568
neutral,41.72891655578915,1.9882620562758282,3.999988427951804,0.1717095737862365,0.5675704026593705,0.5370662503439843,0.030504152315387136,0.1409685531365114,0.04417890563236777,0.24728213857175138,0.3577262107707358,0.24512057350167632,0.23934875433000283,0.12051636055504668,0.037280827526695454,14.07823407575007,16.421639102353875,0.8172436585436664,0.016047206705901273,0.11122114712421902,0.03469870363240963,0.47036071373520827,0.40637790513181843,0.15922053536462166,0.15537755101314354,0.12049990259234102,0.15852410589807744
