,block_group,driving,bicycling,transit,walking,mode_index
0,530330020003,0.92,0.48,0.7057142857142857,0.56,0.6664285714285715
1,530330028001,0.8114285714285714,0.44,0.6514285714285715,0.48,0.5957142857142856
2,530330103001,0.6114285714285714,0.44,0.4857142857142857,0.44,0.4942857142857143
3,530330104023,0.88,0.4,0.7257142857142858,0.48,0.6214285714285714
4,530330080012,0.8971428571428571,0.56,0.76,0.68,0.7242857142857143
5,530330022001,0.7257142857142858,0.16,0.4714285714285714,0.16,0.3792857142857143
6,530330056001,0.48,0.2,0.4228571428571429,0.24,0.3357142857142857
7,530330080021,0.9514285714285714,0.6,0.7114285714285714,0.72,0.7457142857142858
8,530330042002,0.64,0.24,0.6885714285714286,0.32,0.47214285714285714
9,530330069004,0.78,0.44,0.5828571428571429,0.48,0.5707142857142857
10,530330049004,0.9142857142857143,0.4,0.6828571428571428,0.48,0.6192857142857142
11,530330082002,1.0,0.68,0.5571428571428572,0.76,0.7492857142857143
12,530330058013,0.52,0.16,0.6457142857142857,0.28,0.4014285714285714
13,530330004011,0.56,0.32,0.5228571428571429,0.4,0.45071428571428573
14,530330084003,1.0,0.68,0.8142857142857143,0.76,0.8135714285714286
15,530330087002,0.8,0.48,0.6228571428571429,0.52,0.6057142857142858
16,530330077002,0.96,0.32,0.7971428571428572,0.52,0.6492857142857144
17,530330032007,0.52,0.4,0.48,0.44,0.45999999999999996
18,530330044002,0.92,0.52,0.7657142857142857,0.52,0.6814285714285714
19,530330041003,0.8285714285714286,0.16,0.6142857142857143,0.16,0.4407142857142857
20,530330072001,0.96,0.44,0.7571428571428571,0.64,0.6992857142857143
21,530330105004,0.8314285714285714,0.44,0.5171428571428571,0.44,0.5571428571428572
22,530330005003,0.56,0.12,0.4142857142857143,0.28,0.3435714285714286
23,530330060003,0.9457142857142857,0.4,0.7571428571428571,0.48,0.6457142857142857
24,530330053023,0.9485714285714286,0.24,0.6742857142857143,0.44,0.5757142857142857
25,530330011001,0.92,0.48,0.6857142857142857,0.48,0.6414285714285713
26,530330046003,0.9571428571428572,0.44,0.7114285714285714,0.48,0.6471428571428571
27,530330044004,0.9,0.52,0.7028571428571428,0.52,0.6607142857142857
28,530330046001,0.9171428571428571,0.28,0.5914285714285714,0.48,0.5671428571428572
29,530330078004,0.72,0.12,0.82,0.48,0.5349999999999999
30,530330078003,0.8285714285714286,0.4,0.7828571428571428,0.48,0.6228571428571429
31,530330109001,0.88,0.32,0.8,0.24,0.56
32,530330031005,0.52,0.04,0.49714285714285716,0.32,0.3442857142857143
