,block_group,driving,bicycling,transit,walking,mode_index
0,530330020003,0.7771428571428571,0.88,0.5171428571428571,0.12,0.5735714285714286
1,530330028001,0.7857142857142857,0.88,0.37142857142857144,0.16,0.5492857142857144
2,530330103001,0.6714285714285714,0.84,0.20857142857142857,0.24,0.49
3,530330104023,0.8314285714285714,0.84,0.4657142857142857,0.04,0.5442857142857143
4,530330080012,0.9257142857142857,0.92,0.6028571428571429,0.36,0.7021428571428571
5,530330022001,0.6771428571428572,0.6,0.3,0.0,0.3942857142857143
6,530330056001,0.5,0.84,0.1657142857142857,0.04,0.3864285714285714
7,530330080021,0.9314285714285714,0.88,0.6228571428571429,0.36,0.6985714285714285
8,530330042002,0.6685714285714286,0.88,0.4114285714285714,0.12,0.52
9,530330069004,0.7885714285714286,0.92,0.3142857142857143,0.12,0.5357142857142858
10,530330049004,0.8828571428571429,0.92,0.37714285714285717,0.12,0.5750000000000001
11,530330082002,0.9942857142857143,0.88,0.4857142857142857,0.48,0.71
12,530330058013,0.5342857142857143,0.92,0.32,0.08,0.4635714285714286
13,530330004011,0.5885714285714285,0.64,0.3485714285714286,0.2,0.4442857142857143
14,530330084003,0.9942857142857143,0.96,0.6628571428571428,0.4,0.7542857142857142
15,530330087002,0.8542857142857143,0.88,0.4057142857142857,0.32,0.615
16,530330077002,0.9342857142857143,0.96,0.5942857142857143,0.16,0.6621428571428571
17,530330032007,0.5342857142857143,0.92,0.2742857142857143,0.12,0.4621428571428571
18,530330044002,0.7714285714285715,0.88,0.45714285714285713,0.32,0.6071428571428571
19,530330041003,0.7228571428571429,0.8,0.26857142857142857,0.0,0.44785714285714284
20,530330072001,0.9628571428571429,0.96,0.5342857142857143,0.24,0.6742857142857144
21,530330105004,0.7371428571428571,0.84,0.32,0.28,0.5442857142857143
22,530330005003,0.5742857142857143,0.64,0.23142857142857143,0.0,0.36142857142857143
23,530330060003,0.86,0.92,0.4828571428571429,0.2,0.6157142857142858
24,530330053023,0.8542857142857143,0.96,0.44571428571428573,0.12,0.595
25,530330011001,0.7285714285714285,0.68,0.4685714285714286,0.08,0.4892857142857143
26,530330046003,0.8457142857142858,0.92,0.4514285714285714,0.12,0.5842857142857143
27,530330044004,0.8314285714285714,0.96,0.41714285714285715,0.32,0.6321428571428571
28,530330046001,0.8171428571428572,0.88,0.23714285714285716,0.0,0.48357142857142854
29,530330078004,0.88,0.84,0.6,0.0,0.58
30,530330078003,0.9228571428571428,0.84,0.5971428571428572,0.08,0.6100000000000001
31,530330109001,0.7742857142857142,0.88,0.5114285714285715,0.0,0.5414285714285715
32,530330031005,0.5542857142857143,0.64,0.3742857142857143,0.04,0.4021428571428572
33,530330017022,0.6257142857142857,0.92,0.24857142857142858,0.2,0.4985714285714286
34,530330051001,0.8542857142857143,0.92,0.3914285714285714,0.28,0.6114285714285714
35,530330114023,0.5828571428571429,0.72,0.21714285714285714,0.36,0.47
36,530330100012,0.9085714285714286,0.88,0.3942857142857143,0.2,0.5957142857142858
37,530330052002,0.8714285714285714,0.96,0.4514285714285714,0.2,0.6207142857142858
38,530330075005,0.9742857142857143,0.96,0.44285714285714284,0.48,0.7142857142857143
39,530330083002,0.9885714285714285,0.96,0.6657142857142857,0.32,0.7335714285714284
40,530330010002,0.74,0.6,0.3742857142857143,0.16,0.4685714285714285
41,530330113003,0.6828571428571428,0.76,0.3,0.2,0.4857142857142857
42,530330098001,0.8028571428571428,0.8,0.11428571428571428,0.4,0.5292857142857142
43,530330104012,0.8228571428571428,0.84,0.20285714285714285,0.04,0.4764285714285714
44,530330117001,0.72,0.8,0.37714285714285717,0.2,0.5242857142857144
45,530330054004,0.8885714285714286,0.92,0.4742857142857143,0.24,0.6307142857142858
46,530330057005,0.5142857142857142,0.88,0.23142857142857143,0.04,0.41642857142857137
47,530330047004,0.5771428571428572,0.92,0.3313953488372093,0.28,0.5271345514950166
48,530330034002,0.76,0.92,0.26,0.08,0.505
49,530330081003,0.9142857142857143,0.88,0.5714285714285714,0.36,0.6814285714285714
50,530330001004,0.62,0.6,0.4342857142857143,0.08,0.4335714285714286
51,530330097014,0.66,0.76,0.13714285714285715,0.04,0.3992857142857143
52,530330045001,0.8485714285714285,0.92,0.4342857142857143,0.2,0.6007142857142858
53,530330014002,0.6457142857142857,0.72,0.37714285714285717,0.16,0.4757142857142857
54,530330100021,0.92,0.88,0.6057142857142858,0.16,0.6414285714285715
55,530330264004,0.6971428571428572,0.68,0.1742857142857143,0.04,0.3978571428571429
56,530330058022,0.7285714285714285,0.92,0.2857142857142857,0.12,0.5135714285714286
57,530330074023,1.0,0.96,0.5485714285714286,0.4,0.7271428571428571
58,530330024001,0.7142857142857143,0.76,0.3457142857142857,0.08,0.475
59,530330102003,0.66,0.8,0.29714285714285715,0.12,0.4692857142857143
60,530330113001,0.6657142857142857,0.68,0.19714285714285715,0.0,0.3857142857142857
61,530330025002,0.7657142857142857,0.88,0.45714285714285713,0.04,0.5357142857142857
62,530330068002,0.8285714285714286,0.92,0.2057142857142857,0.32,0.5685714285714286
63,530330105003,0.6571428571428571,0.76,0.2342857142857143,0.08,0.4328571428571429
64,530330075002,0.9228571428571428,0.96,0.3914285714285714,0.4,0.6685714285714285
65,530330070004,0.82,0.92,0.24,0.36,0.585
66,530330056005,0.7,0.88,0.46,0.08,0.53
67,530330118005,0.6485714285714286,0.8,0.23142857142857143,0.24,0.48000000000000004
68,530330085003,0.9942857142857143,0.88,0.5514285714285714,0.32,0.6864285714285714
69,530330043022,0.7857142857142857,0.92,0.3657142857142857,0.16,0.5578571428571429
70,530330027002,0.8,0.88,0.20857142857142857,0.32,0.5521428571428572
71,530330078001,0.8342857142857143,0.84,0.5485714285714286,0.04,0.5657142857142857
72,530330080022,0.7885714285714286,0.88,0.6285714285714286,0.04,0.5842857142857143
73,530330029003,0.7,0.92,0.24285714285714285,0.12,0.4957142857142858
74,530330067003,0.8714285714285714,0.88,0.38,0.16,0.5728571428571428
75,530330057001,0.4828571428571429,0.8,0.15142857142857144,0.0,0.3585714285714286
76,530330074012,0.9742857142857143,0.96,0.48857142857142855,0.48,0.7257142857142856
77,530330089002,0.8114285714285714,0.88,0.5142857142857142,0.08,0.5714285714285714
78,530330001002,0.6371428571428571,0.6,0.4514285714285714,0.16,0.46214285714285713
79,530330068001,0.8685714285714285,0.92,0.18571428571428572,0.32,0.5735714285714286
80,530330117003,0.7228571428571429,0.8,0.2542857142857143,0.12,0.4742857142857143
81,530330085002,0.96,0.88,0.4828571428571429,0.4,0.6807142857142857
82,530330102001,0.5714285714285714,0.8,0.34,0.08,0.4478571428571429
83,530330065003,0.9571428571428572,0.96,0.5714285714285714,0.36,0.7121428571428571
84,530330106001,0.7057142857142857,0.8,0.3142857142857143,0.32,0.535
85,530330063001,0.6885714285714286,0.84,0.49142857142857144,0.08,0.525
86,530330017024,0.64,0.76,0.22285714285714286,0.2,0.4557142857142857
