cost,key,adjusted_for_income,normalized,scaled
9.016257600114807,530330112001,0.0001783096131727723,2.1309966102191207,0.6968791964921048
8.881115637750959,530330112002,0.00023050087168575729,2.048389112772863,0.6812357846806952
8.087798346099442,530330112003,0.000270572955271287,1.5634623365304459,0.5894050248386532
4.742313061917144,530330069001,6.043980295783692e-05,-0.4815143845084378,0.2021470400199094
4.870721531019488,530330069002,3.579121071785474e-05,-0.4030228331212325,0.21701101363035913
4.845752333808452,530330069003,5.053993577704809e-05,-0.41828561944434645,0.21412069423777189
4.735842649378797,530330069004,4.809067503002159e-05,-0.48546951863471793,0.20139805483309858
5.120536623441165,530330026001,6.272359405832741e-05,-0.25031971080235105,0.245928459397027
4.5670890994911035,530330026002,4.1182019234361824e-05,-0.5886225896539363,0.1818639202878048
4.533994213751858,530330026003,5.682000844823215e-05,-0.6088523217176782,0.17803300857529986
4.6943785086096375,530330026004,6.260049910076566e-05,-0.5108150800191062,0.19659835666302275
4.316019703098177,530330068001,3.6900124275578254e-05,-0.7420924235869562,0.1528012820641404
4.377022002683142,530330068002,4.524775457981258e-05,-0.7048038773868242,0.15986262760891892
8.409497964959957,530330111011,0.00024361193116980107,1.7601059250846343,0.6266434926645045
7.878960975885017,530330111012,0.00016171757226586482,1.435807445148713,0.565230971667216
8.072076276062768,530330111013,0.00013134585806705228,1.5538519916924178,0.5875851103442246
7.958913469712524,530330111014,0.00010619832990773964,1.484679574235426,0.574485904512763
5.841892057670319,530330025001,5.886108189651997e-05,0.19061932951211624,0.32942924570101184
5.350233251979156,530330025002,5.557430939015016e-05,-0.1099142932438884,0.2725170843441619
4.746174529136505,530330097011,5.676676675278951e-05,-0.4791540062966475,0.20259402569965035
9.255590924757685,530330111021,7.707617061917275e-05,2.2772925989588093,0.724583321044494
8.539822771638306,530330111022,0.0001431170661452962,1.839768865791981,0.6417292926961986
8.10038178383011,530330111023,0.00034964175667324737,1.571154146550214,0.5908616256973421
8.285289115347547,530330111024,,1.684181452421326,0.6122656476848894
4.552918574793108,530330061004,7.383974506674879e-05,-0.597284529752528,0.18022360554353856
4.600450343083747,530330067001,4.423107763050312e-05,-0.5682300424637197,0.18572566435997814
4.457981189023479,530330067002,5.088824668028357e-05,-0.6553163928048364,0.16923409054822974
4.687403145961617,530330067003,5.768813089503714e-05,-0.5150788722717429,0.19579092077465576
4.743043506624547,530330067004,4.360185164848947e-05,-0.4810678895172005,0.20223159293865872
9.180314006715689,530330110013,0.0003861469752729787,2.231278483830199,0.7158696113408105
6.021076526668892,530330024001,5.4086468144000524e-05,0.3001484521199171,0.35017081545272716
6.011192966918212,530330024002,7.257427604969311e-05,0.294106981931212,0.3490267400475891
6.011664876639862,530330024003,5.39591230828467e-05,0.294395443638029,0.34908136614583757
9.3112217952015,530330110021,0.00014424559494840541,2.311297780678369,0.7310228946643941
8.67320811534106,530330110022,0.0002929727416600856,1.9213026044365893,0.6571693664131301
9.43068640662096,530330110023,0.000146908992472582,2.384322268484617,0.7448515684577574
9.180720509228232,530330109001,0.00019369077934220202,2.231526964425563,0.7159166662014538
8.619278604459621,530330109002,0.00014081894119577696,1.8883374035878548,0.6509267343486728
4.888060615554445,530330066001,6.402017516816322e-05,-0.39242406456416795,0.2190181062836603
4.462967198841833,530330066002,5.289751538845184e-05,-0.6522686215120994,0.16981124810551193
4.710315498269468,530330012003,0.00020546571583585375,-0.5010733624237899,0.19844314926424073
10.233566587402393,530330108001,0.00015252904414950574,2.8750945003172927,0.837789284349197
8.466198480444204,530330108002,0.00010922920181733794,1.7947649429510153,0.6332068834731357
9.530337260983982,530330108003,0.00012100575146813504,2.4452353080270472,0.7563866928920358
5.290970477927899,530330065001,2.642911130275852e-05,-0.14613952906603003,0.2656570982720761
4.051000087207099,530330065002,4.4577018626177976e-05,-0.904089532848905,0.1221238306125787
4.060721126987959,530330065003,6.384858648918049e-05,-0.8981474053643984,0.12324909345372101
5.890983708351207,530330022001,5.610605138221706e-05,0.22062731768484772,0.33511186932634734
5.84961540788868,530330022002,5.054468410184747e-05,0.19534034008707082,0.3303232651892318
6.44206737506618,530330022003,5.0311490024205376e-05,0.5574852542912909,0.39890277919750716
5.064270690470827,530330022004,3.275583824266514e-05,-0.28471308376259086,0.23941537386080847
4.943922050083135,530330064001,3.3421451947922226e-05,-0.3582779471817,0.22548436894126217
4.632144856238569,530330064002,2.4637781902213557e-05,-0.5488563085863893,0.18939447538484797
4.616729044621318,530330064003,3.49647152385429e-05,-0.5582794484944478,0.18761001195603888
8.962451947823247,530330107012,0.00013899303572932018,2.0981071197416736,0.6906509017281718
6.0867917259565445,530330021001,5.560693747442408e-05,0.34031782706742225,0.3577777045843045
6.2426918298492495,530330021002,8.867142606809176e-05,0.43561404157342903,0.3758239833564672
6.4433350203960496,530330021003,7.602191783464272e-05,0.5582601210056579,0.3990495159887976
8.381202206005211,530330107021,0.00010589472155607102,1.7428097293308613,0.6233681057890813
7.842167572451258,530330107022,0.0002931408144868161,1.4133169401491608,0.5609719365622794
7.710118347740407,530330107023,0.00021150260217383632,1.3325999237444912,0.5456865258327265
7.482604328831628,530330106001,6.591830960276624e-05,1.1935286581860263,0.5193505497346693
7.394510751121601,530330106002,8.294176598840625e-05,1.1396801727236048,0.5091532424738193
7.5932370993833525,530330106003,8.924678054581791e-05,1.261154554324921,0.5321568902621086
8.11413954347017,530330106004,0.0001255800730251171,1.579563777981143,0.5924541606575227
10.61604576861273,530330106005,0.0001293423904091644,3.108890483684868,0.8820633146822406
