,block_group,driving,bicycling,transit,walking,mode_index
0,530330020003,0.7742857142857142,0.96,0.43142857142857144,0.12,0.5714285714285714
1,530330028001,0.78,1.0,0.3057142857142857,0.28,0.5914285714285714
2,530330103001,0.6571428571428571,0.96,0.19142857142857142,0.28,0.5221428571428571
3,530330104023,0.8257142857142857,0.92,0.4085714285714286,0.08,0.5585714285714286
4,530330080012,0.9228571428571428,1.0,0.4857142857142857,0.4,0.7021428571428571
5,530330022001,0.6685714285714286,0.96,0.26,0.04,0.48214285714285715
6,530330056001,0.49714285714285716,1.0,0.16285714285714287,0.08,0.435
7,530330080021,0.9285714285714286,1.0,0.5,0.36,0.6971428571428572
8,530330042002,0.6571428571428571,0.96,0.3657142857142857,0.16,0.5357142857142857
9,530330069004,0.7714285714285715,1.0,0.26,0.2,0.5578571428571428
10,530330049004,0.8742857142857143,1.0,0.2914285714285714,0.2,0.5914285714285715
11,530330082002,0.9914285714285714,1.0,0.42,0.52,0.7328571428571429
12,530330058013,0.5285714285714286,1.0,0.21714285714285714,0.08,0.4564285714285714
13,530330004011,0.5857142857142857,0.92,0.26,0.28,0.5114285714285715
14,530330084003,0.9914285714285714,1.0,0.6142857142857143,0.48,0.7714285714285715
15,530330087002,0.8457142857142858,1.0,0.29428571428571426,0.4,0.6349999999999999
16,530330077002,0.9285714285714286,1.0,0.5142857142857142,0.24,0.6707142857142858
17,530330032007,0.5342857142857143,1.0,0.2742857142857143,0.12,0.4821428571428571
18,530330044002,0.7714285714285715,1.0,0.4142857142857143,0.4,0.6464285714285714
19,530330041003,0.7171428571428572,0.96,0.21428571428571427,0.08,0.4928571428571428
20,530330072001,0.96,1.0,0.49142857142857144,0.4,0.7128571428571429
21,530330105004,0.7257142857142858,0.92,0.24571428571428572,0.32,0.5528571428571429
22,530330005003,0.5685714285714286,0.92,0.16285714285714287,0.0,0.41285714285714287
23,530330060003,0.8514285714285714,1.0,0.42,0.28,0.6378571428571429
24,530330053023,0.8485714285714285,1.0,0.38571428571428573,0.24,0.6185714285714285
25,530330011001,0.7228571428571429,0.96,0.40285714285714286,0.08,0.5414285714285715
26,530330046003,0.8428571428571429,1.0,0.37714285714285717,0.24,0.615
27,530330044004,0.8228571428571428,1.0,0.3057142857142857,0.32,0.6121428571428571
28,530330046001,0.8085714285714286,1.0,0.20285714285714285,0.04,0.5128571428571429
29,530330078004,0.8657142857142858,1.0,0.5514285714285714,0.04,0.6142857142857143
30,530330078003,0.9028571428571428,1.0,0.5085714285714286,0.12,0.6328571428571429
31,530330109001,0.7742857142857142,0.92,0.38571428571428573,0.04,0.53
32,530330031005,0.5542857142857143,0.92,0.32285714285714284,0.04,0.4592857142857143
33,530330017022,0.6228571428571429,1.0,0.16857142857142857,0.2,0.49785714285714283
34,530330051001,0.8514285714285714,1.0,0.3628571428571429,0.28,0.6235714285714287
35,530330114023,0.5771428571428572,0.92,0.20857142857142857,0.36,0.5164285714285715
36,530330100012,0.9085714285714286,1.0,0.32285714285714284,0.28,0.6278571428571429
37,530330052002,0.8685714285714285,1.0,0.39714285714285713,0.32,0.6464285714285714
38,530330075005,0.9714285714285714,1.0,0.3742857142857143,0.52,0.7164285714285714
39,530330083002,0.9857142857142858,1.0,0.6085714285714285,0.44,0.7585714285714286
40,530330010002,0.7342857142857143,0.96,0.29714285714285715,0.16,0.5378571428571429
41,530330113003,0.68,0.92,0.2542857142857143,0.24,0.5235714285714286
42,530330098001,0.7971428571428572,0.92,0.09428571428571429,0.4,0.5528571428571428
43,530330104012,0.8171428571428572,1.0,0.18857142857142858,0.12,0.5314285714285715
44,530330117001,0.72,0.92,0.2542857142857143,0.28,0.5435714285714286
45,530330054004,0.8857142857142857,1.0,0.3657142857142857,0.32,0.6428571428571428
46,530330057005,0.5057142857142857,1.0,0.20857142857142857,0.08,0.4485714285714286
47,530330047004,0.5628571428571428,1.0,0.25872093023255816,0.32,0.5353945182724252
48,530330034002,0.7514285714285714,1.0,0.26,0.08,0.5228571428571429
49,530330081003,0.9114285714285715,1.0,0.5114285714285715,0.44,0.7157142857142857
50,530330001004,0.6171428571428571,0.88,0.3342857142857143,0.08,0.47785714285714287
