,block_group,driving,bicycling,transit,walking,mode_index
0,530330020003,0.8228571428571428,0.96,0.5542857142857143,0.2,0.6342857142857143
1,530330028001,0.8628571428571429,0.92,0.40285714285714286,0.36,0.6364285714285715
2,530330103001,0.7857142857142857,0.92,0.23142857142857143,0.4,0.5842857142857143
3,530330104023,0.88,0.92,0.52,0.12,0.6100000000000001
4,530330080012,0.9571428571428572,0.96,0.6457142857142857,0.48,0.7607142857142858
5,530330022001,0.7371428571428571,0.68,0.3171428571428571,0.12,0.46357142857142863
6,530330056001,0.58,0.92,0.17714285714285713,0.12,0.4492857142857143
7,530330080021,0.9628571428571429,0.96,0.6314285714285715,0.56,0.7785714285714286
8,530330042002,0.7342857142857143,0.96,0.41714285714285715,0.2,0.577857142857143
9,530330069004,0.8657142857142858,0.96,0.40285714285714286,0.36,0.6471428571428571
10,530330049004,0.9028571428571428,0.96,0.4228571428571429,0.32,0.6514285714285714
11,530330082002,1.0,0.96,0.49142857142857144,0.64,0.7728571428571429
12,530330058013,0.6428571428571429,0.92,0.36857142857142855,0.08,0.5028571428571429
13,530330004011,0.6514285714285715,0.76,0.3485714285714286,0.32,0.52
14,530330084003,1.0,1.0,0.7,0.64,0.8350000000000001
15,530330087002,0.9371428571428572,0.96,0.4257142857142857,0.44,0.6907142857142857
16,530330077002,0.9542857142857143,1.0,0.6742857142857143,0.32,0.7371428571428571
17,530330032007,0.5771428571428572,0.92,0.28,0.16,0.4842857142857143
18,530330044002,0.8342857142857143,0.96,0.5057142857142857,0.4,0.6749999999999999
19,530330041003,0.8028571428571428,0.92,0.3485714285714286,0.12,0.5478571428571429
20,530330072001,0.98,0.96,0.5971428571428572,0.44,0.7442857142857143
21,530330105004,0.8114285714285714,0.84,0.3657142857142857,0.32,0.5842857142857142
22,530330005003,0.6171428571428571,0.8,0.2914285714285714,0.0,0.42714285714285716
23,530330060003,0.8885714285714286,0.96,0.5,0.4,0.6871428571428572
24,530330053023,0.9114285714285715,0.96,0.4857142857142857,0.36,0.6792857142857143
25,530330011001,0.7685714285714286,0.88,0.48,0.32,0.6121428571428571
26,530330046003,0.8828571428571429,0.96,0.5057142857142857,0.4,0.6871428571428572
27,530330044004,0.8685714285714285,0.96,0.4857142857142857,0.44,0.6885714285714285
28,530330046001,0.8857142857142857,0.92,0.26571428571428574,0.16,0.5578571428571428
29,530330078004,0.9342857142857143,1.0,0.6257142857142857,0.12,0.6699999999999999
30,530330078003,0.9371428571428572,1.0,0.6171428571428571,0.24,0.6985714285714286
31,530330109001,0.8428571428571429,0.88,0.5257142857142857,0.04,0.5721428571428572
32,530330031005,0.5771428571428572,0.84,0.37714285714285717,0.08,0.46857142857142864
33,530330017022,0.7085714285714285,0.92,0.2885714285714286,0.4,0.5792857142857143
34,530330051001,0.9,0.96,0.4685714285714286,0.36,0.672142857142857
35,530330114023,0.6542857142857142,0.88,0.26857142857142857,0.4,0.5507142857142857
36,530330100012,0.9342857142857143,0.92,0.4685714285714286,0.32,0.6607142857142857
37,530330052002,0.9057142857142857,0.96,0.5228571428571429,0.4,0.6971428571428572
38,530330075005,0.9971428571428571,1.0,0.4657142857142857,0.56,0.7557142857142857
39,530330083002,1.0,0.96,0.6885714285714286,0.56,0.8021428571428572
40,530330010002,0.7771428571428571,0.76,0.4,0.16,0.5242857142857144
41,530330113003,0.7542857142857143,0.88,0.30857142857142855,0.36,0.5757142857142857
42,530330098001,0.8485714285714285,0.84,0.18,0.4,0.5671428571428572
43,530330104012,0.8914285714285715,0.92,0.24571428571428572,0.32,0.5942857142857142
44,530330117001,0.7828571428571428,0.88,0.4257142857142857,0.36,0.6121428571428571
45,530330054004,0.9171428571428571,0.96,0.5628571428571428,0.4,0.71
46,530330057005,0.58,0.92,0.2542857142857143,0.12,0.4685714285714285
47,530330047004,0.72,0.92,0.37209302325581395,0.36,0.5930232558139535
48,530330034002,0.8371428571428572,0.92,0.26857142857142857,0.16,0.5464285714285715
49,530330081003,0.9342857142857143,0.96,0.5714285714285714,0.48,0.7364285714285713
50,530330001004,0.7028571428571428,0.68,0.4828571428571429,0.28,0.5364285714285715
51,530330097014,0.7085714285714285,0.84,0.14,0.08,0.44214285714285717
52,530330045001,0.8857142857142857,0.96,0.4657142857142857,0.44,0.6878571428571428
53,530330014002,0.7028571428571428,0.92,0.37714285714285717,0.2,0.55
54,530330100021,0.9457142857142857,0.92,0.6057142857142858,0.36,0.7078571428571429
55,530330264004,0.7657142857142857,0.8,0.1742857142857143,0.12,0.4650000000000001
56,530330058022,0.8142857142857143,0.96,0.34285714285714286,0.16,0.5692857142857143
57,530330074023,1.0,1.0,0.5685714285714286,0.64,0.8021428571428572
58,530330024001,0.7514285714285714,0.92,0.35428571428571426,0.12,0.5364285714285715
59,530330102003,0.7514285714285714,0.92,0.3028571428571429,0.24,0.5535714285714286
60,530330113001,0.7142857142857143,0.88,0.24,0.08,0.4785714285714286
61,530330025002,0.8057142857142857,0.96,0.47714285714285715,0.32,0.6407142857142857
62,530330068002,0.86,0.96,0.23142857142857143,0.4,0.6128571428571428
63,530330105003,0.7171428571428572,0.84,0.23714285714285716,0.28,0.5185714285714286
64,530330075002,0.9742857142857143,1.0,0.44857142857142857,0.56,0.7457142857142857
65,530330070004,0.8914285714285715,0.96,0.3028571428571429,0.48,0.6585714285714286
66,530330056005,0.7514285714285714,0.96,0.52,0.16,0.5978571428571429
67,530330118005,0.7228571428571429,0.88,0.23714285714285716,0.36,0.5499999999999999
68,530330085003,1.0,0.96,0.5971428571428572,0.6,0.7892857142857143
69,530330043022,0.8342857142857143,0.96,0.44,0.2,0.6085714285714287
70,530330027002,0.8514285714285714,0.96,0.22,0.44,0.6178571428571429
71,530330078001,0.9285714285714286,1.0,0.5685714285714286,0.08,0.6442857142857144
72,530330080022,0.8742857142857143,0.96,0.6771428571428572,0.16,0.6678571428571429
73,530330029003,0.7828571428571428,0.92,0.26571428571428574,0.44,0.6021428571428572
74,530330067003,0.9228571428571428,0.96,0.4,0.32,0.6507142857142857
75,530330057001,0.5114285714285715,0.92,0.16857142857142857,0.04,0.41000000000000003
76,530330074012,0.9914285714285714,1.0,0.4942857142857143,0.48,0.7414285714285714
77,530330089002,0.8828571428571429,1.0,0.5942857142857143,0.36,0.7092857142857143
78,530330001002,0.6857142857142857,0.6,0.4828571428571429,0.36,0.5321428571428571
79,530330068001,0.9,0.96,0.24,0.4,0.6249999999999999
80,530330117003,0.7914285714285715,0.88,0.29428571428571426,0.24,0.5514285714285714
81,530330085002,0.9857142857142858,0.96,0.5285714285714286,0.68,0.7885714285714286
82,530330102001,0.6914285714285714,0.92,0.3514285714285714,0.12,0.5207142857142857
83,530330065003,0.9885714285714285,1.0,0.58,0.52,0.7721428571428571
84,530330106001,0.7828571428571428,0.84,0.35428571428571426,0.32,0.5742857142857143
