key,cost,relative_cost,scaled,relative_scaled,average_duration,fastest,direct_cost,cheapest
530330108003,8.908971246819101,3.775007407995818,0.3492094002387185,0.7081623253623537,26.579610194902553,18.276666666666664,2.6627628510170025,0.838947172156619
530330094002,7.110532537455474,3.22595514984412,0.6696988060709663,0.5677221086326257,19.909561278016213,14.036666666666665,2.4317856371216626,0.5859607209446862
530330098002,8.48360532043738,4.2500387946449605,0.42501141244940965,0.829668994179289,25.078587015821057,13.556,2.59013737171943,1.0479065257924176
530330031004,8.792003047210418,2.9795782988332338,0.37005362951307574,0.5047022087243062,28.172526780088216,20.849305555555556,2.171459253889687,0.9128379428216283
530330051002,7.4969066818178085,3.694910543429575,0.6008452947942633,0.6876746197714098,22.57658002038736,13.754666666666667,2.191410377026778,0.5696494717215662
530330106005,9.840898758592939,2.3626316629158444,0.18313596500176954,0.346895519156014,31.14075108628181,25.76527777777778,2.5228222533167135,1.4234268178993164
530330111021,9.066718315265154,2.711524690860765,0.3210982035797322,0.4361376846012891,27.65449438202247,21.325,2.567912135489876,1.343818624404392
530330052005,6.824265558816995,3.3187913843815284,0.720712795825281,0.5914683745030107,20.385513482501434,12.538666666666668,2.033669890429159,0.5588875077688005
530330117002,9.460337756000472,2.748844078940879,0.2509535497594628,0.4456834844270389,28.067261904761907,21.101388888888888,2.864531208381426,1.7526672881707064
530330001005,8.48544115184734,3.592724048056164,0.4246842595057354,0.6615366823637686,23.91299342105263,15.668,2.8658876978999706,1.2107371037911747
530330112003,8.829674395340772,3.3342907305386174,0.3633404354985469,0.5954328997392756,26.51632055378062,18.576666666666668,2.5983390652023264,1.1298669981354879
530330006003,8.47867411896899,3.5584895426275773,0.4258901734660713,0.6527799542187814,24.189225838264303,15.643333333333334,2.7942060469768792,1.2440012430080796
530330108002,8.431506481951267,3.11444058802129,0.4342956464374965,0.5391981767146697,24.242515542802487,18.339333333333332,2.734515329392683,1.007322560596644
530330105003,8.752562873047298,3.0952126533628825,0.37708203582886923,0.5342799284594268,26.863257575757576,19.215972222222224,2.4396973427442665,1.141596747462192
530330116003,9.453536062322648,2.1889873823431847,0.25216564042127365,0.3024796369964615,29.102673213311505,24.44347826086956,2.6144078571944434,1.5203312886751155
530330001003,8.44959029412582,2.902817051946412,0.43107303440805733,0.48506770947733113,24.316694963214488,18.098666666666666,2.735166977770415,1.293586575512741
530330079005,6.551156609717647,3.6454752755556425,0.7693819689077996,0.6750297401060775,19.98421197144426,10.306666666666665,1.8548667964282461,0.48361466749533877
530330093002,7.30827237023092,3.395071765300321,0.6344607291848237,0.610979874673367,22.02625968992248,14.589333333333334,2.132101343099137,0.48470727159726534
530330105002,8.390491985641424,4.0655347016140775,0.44160460363710097,0.7824753173879262,24.66867000556483,14.298,2.5933545343336886,0.9649272840273463
530330014001,8.509214297751747,3.4929034069292895,0.42044778407513117,0.6360038987974995,25.304618163054695,16.819333333333333,2.562629029433893,1.0637675574891237
530330041005,9.370007818126215,4.10392992088155,0.26705072781032246,0.7922963004277945,27.484126984126984,17.924666666666667,2.911237976856374,1.0537812305779988
530330004012,8.913242112325365,3.0601571278629667,0.34844831389122977,0.5253131943723003,27.003612059158133,19.875999999999998,2.567393278423204,1.182224984462399
530330028004,7.981304232600629,3.730453167757041,0.514523596741003,0.6967659472171729,23.868665628245065,14.255333333333335,2.372167809963039,0.9008477315102549
530330113002,8.453219956370885,2.307413119826448,0.43042621320128704,0.3327713551190963,25.71852450188476,20.88,2.409366698427966,1.2390068365444376
530330058011,8.865138760999974,2.754987385404368,0.35702053512098164,0.44725485997164355,27.91942428640542,22.615333333333332,2.304074053694702,0.7955480422622747
530330019003,8.246661962743252,3.867245244284582,0.46723572375227274,0.7317555289723024,24.57559880239521,14.5,2.4713962441803776,0.9719167184586701
530330038002,8.386126259587389,3.8150677035484417,0.44238259453654005,0.7184092126233347,23.73850330500472,15.836666666666666,2.8075779829112797,0.849441889372281
530330022003,9.841700421521582,3.338350931154896,0.18299310526774537,0.5964714446975203,29.147297297297296,21.142,2.992085556656719,1.5349794903666873
530330017021,8.482146107024354,3.666011766854477,0.42527145046865855,0.6802826996305235,25.711939890710383,16.00133333333333,2.4398402327074145,1.0558210068365446
530330074022,5.785171296477321,3.0178500886878026,0.9058838005456908,0.5144916201728703,16.93970750551876,9.459333333333333,1.804340032680411,0.544377874456184
530330002003,9.738505854449315,4.18522919606937,0.20138281480519726,0.8130915665574399,27.757817998994472,18.227333333333334,3.215418624685616,1.269853325046613
530330070005,7.170579062263375,3.3653692818614687,0.6589982606713486,0.6033823770770436,22.15824059353471,13.604666666666667,1.9633925227827178,0.6081131137352392
530330264005,9.447159176787686,3.861703616484532,0.25330202847026273,0.7303380547743192,29.074131944444446,18.750694444444445,2.6147381698432435,1.1790423658587115
530330076003,6.521593534885228,3.5968286995837984,0.774650234230541,0.6625865972700137,19.410268562401264,10.388,1.9601804227209312,0.4835848353014295
530330070001,7.267738249600564,3.350703304500086,0.6416840814008979,0.5996310164212846,22.26476407914764,14.010666666666669,2.035518691000868,0.6245282784338098
530330097025,9.066031738753194,3.3292720681503356,0.3212205544261807,0.5941491930919771,27.41991869918699,18.194,2.622350844444252,1.461169670602859
530330026002,8.052773370585971,4.264695842100369,0.5017874932257655,0.8334180706846563,23.761028602860286,13.067333333333334,2.468931648913804,0.7172541951522686
530330117004,9.91837657053887,3.617680877561865,0.16932909030181365,0.6679203052204825,26.651553254437864,19.037999999999997,3.6552615557459704,1.8267656929770042
530330088002,7.2795605134958725,3.7098761526091932,0.6395773038322923,0.6915026222346969,22.385190763052208,13.044666666666666,2.0190406841786035,0.5041876942200124
530330097024,9.074938691868134,3.3442603036352763,0.31963329760351544,0.5979829830612365,27.922482014388486,18.350666666666665,2.5131554184868388,1.4182717215661902
530330006001,9.35616142404919,4.355928353819236,0.2695182139623721,0.8567541257292658,27.458075335397318,15.973999999999998,2.9035137202308228,1.2463430702299565
530330087001,6.886976487444367,3.8336405251489465,0.7095374423643411,0.723159891729251,21.57710712343665,10.935333333333332,1.8163563134367553,0.48353262896208826
530330114011,8.68030901280051,2.6183785818910437,0.3899579801793849,0.4123121569998267,26.28526949241235,21.235333333333337,2.5032706820836097,1.0716270975761342
