bg_origin,dist_under_2,dist_2_to_10,bg_dest,proximity_ratio
530330001003,8636.736577773998,4049.5707087600003,61,2.1327536173380244
530330001005,1079.7734828640002,7744.964000110001,63,0.1394162042391242
530330004011,3201.1809924680015,3355.850350156,193,0.9539105318922196
530330004013,1427.187520768,2681.8359316509996,97,0.5321680957154566
530330006001,3010.226330909,7991.339601379998,78,0.3766860728067637
530330007001,1514.0945186479998,5981.283600899001,344,0.25313872734949866
530330012003,4452.666913087999,4594.651998109998,139,0.9690977499317893
530330012004,2424.525529697001,16768.834478570003,174,0.1445852144819881
530330012005,3972.5898993400006,4958.457237419,98,0.8011745809484548
530330013002,1728.7679355900004,881.7830215599998,83,1.9605366550736751
530330013003,1002.23341592,1092.355962776,55,0.9174970889278876
530330016003,3070.4804929439997,2092.30358206,57,1.467511941991193
530330017011,5068.655348117999,6979.477215353,162,0.7262227802632983
530330018001,1075.18204859,435.827706,75,2.4669887521790552
530330018002,667.9894151879998,6895.511233717996,126,0.09687308055153818
530330018003,1700.5964810399998,2140.4699153899996,114,0.7944967919486718
530330019001,6907.010516477995,15930.139660430003,171,0.4335812907927484
530330026003,8044.113549519993,4525.302622728998,275,1.7775857705332787
530330030002,5976.829878680001,2282.267936464,89,2.61881165799495
530330032002,10066.812916619996,2398.8365107299996,74,4.196539810692027
530330032003,999.8953308089998,2330.060233106,85,0.4291285335041003
530330033003,2762.603981004001,4800.5434651040005,178,0.5754773394066438
530330033004,2392.6043982099995,311.26627709,83,7.686680422236034
530330036001,2611.7322803589987,2277.9976676979995,174,1.1465034918136023
530330036002,10262.466778716001,2205.4623014440003,178,4.653204351757349
530330036004,10232.299535911,4772.057653417001,180,2.1442112143352303
530330040001,3830.1383483120003,5716.409429503,66,0.6700251959812827
530330041004,13936.151663496,3113.6008255250003,62,4.475895416409441
530330043011,5452.346185494997,25932.977068447,285,0.21024759984571692
530330043021,832.3771814550003,773.8153268730001,123,1.0756793676065444
530330043022,2008.920105685,332.273729603,86,6.045979343853797
530330044002,14209.723366919996,6571.276800029,224,2.162399150018652
530330044004,5069.961490632,2755.669149332,64,1.839829535363854
530330046001,5066.325135194,18068.441600903006,94,0.2803963533269411
530330047002,19505.21365046501,16453.584398881998,317,1.1854689639413991
530330047003,11722.152795496004,4979.381013063999,245,2.3541385494987312
530330047004,10163.142713624999,4004.1977337290014,397,2.5381220882317264
530330048003,830.0953562150002,3183.5016816600005,51,0.2607491495912
530330049002,6755.197139205002,9043.415882978994,183,0.746974066726186
530330049003,2887.8297898619994,1405.9825475140005,158,2.053958489718197
530330050001,15770.679284469,7929.545369909,142,1.9888503752454076
530330050002,2523.5756550160004,2501.2971812459996,73,1.0089067680310193
