bg_origin,dist_under_2,dist_2_to_10,bg_dest,proximity_ratio
530330082002,617.924620929,933.1837915999998,56,0.6621681886153755
530330083001,5875.146818177002,2883.4904995389998,118,2.037512112183583
530330084001,8997.823599875004,3119.5823977210002,253,2.8843038755598607
530330084002,2767.517334884,3004.4072929319996,86,0.921152515304668
530330084003,2714.726444239001,3081.674715654,86,0.8809256961641636
530330085001,15104.113954965997,5969.215620772002,97,2.5303347901198068
530330085002,4091.100740885999,3796.274285743,64,1.0776620530951166
530330085003,1997.9617542659992,1597.2861207680003,62,1.250847752502443
530330086001,1946.663886389,4369.289004566,114,0.44553333147674484
530330086002,8558.589497859004,9396.719532569,140,0.9108061029378348
530330087003,2167.3206723400003,1474.8556823670008,303,1.4695137281918054
530330089003,5807.018320751,995.594025075,94,5.83271712615345
530330090001,1280.3166100439998,1294.2286539849995,78,0.9892507062811786
530330090002,3168.3702175610015,3286.4888738170002,144,0.9640593165560262
530330091001,5449.809282305998,5223.095194510001,61,1.0434060799876472
530330091002,6957.809695486999,4943.805167079005,304,1.4073794294765762
530330092001,1392.488146101,1431.938250836,50,0.9724498561917959
530330092002,4491.356064985,13114.826854766,167,0.3424640000758238
530330093001,1479.9037493730002,1476.7226234199998,133,1.0021541797373112
530330093002,10976.016154269002,13666.670996238987,497,0.8031228788114939
530330093003,4750.2563315160005,29264.001134868,315,0.1623242259191987
530330094001,2072.736626075,1627.0337114649997,115,1.2739358818869735
530330094002,9552.175319164002,2715.6864686510003,71,3.5174072667928353
530330094004,494.04932436,434.684857335,54,1.1365689787055302
530330095002,6424.340769759998,6378.513822318,230,1.0071845807218684
530330095004,1197.850109018,6992.037528714003,92,0.1713163157518567
530330096002,4352.2122570930005,1302.06210555,107,3.3425535068886716
530330098004,12860.943291584997,11654.506309894,254,1.1035167813729527
530330099002,814.5139110910002,5956.461004206998,65,0.13674460565018656
530330099004,5139.430244946006,6010.429744498003,185,0.8550853205880465
530330100011,2260.106746340999,3641.7166193440007,57,0.6206157651959539
530330100012,1470.0726021020002,5376.655128667001,72,0.2734176857027588
530330100013,1048.8791123889998,6234.860980327001,86,0.16822814745967105
530330101003,177.66759378800003,424.16696367699996,54,0.41886240325706414
530330103004,6027.714934356004,1121.2349789360003,127,5.375960478931923
530330103005,4135.216984654001,2605.7515846810006,178,1.586957486264079
530330105001,4233.870201243,3060.920428313001,99,1.3832016546658352
530330105004,15379.676803842,19197.647250618,117,0.8011230023693089
530330105005,838.5138530500001,278.3763699840001,74,3.012158873607678
530330106002,675.0696615,1129.659706944,64,0.5975867399273939
530330106003,15194.629354944003,13222.868373772995,270,1.149117492924751
530330109001,350.04251239399997,2591.9568992040004,54,0.1350495112405223
530330109002,1514.48254687,2509.8957911350003,129,0.6034045525791075
530330110011,1552.4384031639995,1510.0815804340002,51,1.0280493605635703
530330110013,389.41761904000003,2711.496129105999,57,0.1436172505871856
530330110022,217.27299163000006,634.9767992620001,55,0.34217469344159496
530330112002,89.00258793200001,164.55962924600004,82,0.5408531140948921
530330114012,487.05569502000003,889.404906162,103,0.5476197529894058
530330114021,5368.583199185001,7409.627062407998,127,0.724541620511776
530330114022,2548.2666371289997,549.3437180730002,75,4.638747205607201
530330118006,2363.2771050640004,1595.6588080700008,110,1.4810666873844152
