bg_od_pair,google_duration,trip_path_distance,origin_lat,origin_lng,dest_lat,dest_lng
530330002002 to 530330002002,1.0,0.395813327,47.719716,-122.298113,47.721782999999995,-122.301472
530330002002 to 530330007001,5.333333333333333,0.5347970633333333,47.72028133333333,-122.29874566666666,47.71627966666667,-122.29397333333333
530330002002 to 530330008001,4.0,0.679158503,47.720458,-122.301025,47.715508,-122.291489
530330002002 to 530330012004,9.0,2.05,47.71987,-122.2974,47.70919,-122.32452
530330002002 to 530330021003,8.0,2.377365446,47.719716,-122.298113,47.694062,-122.299017
530330002002 to 530330053013,12.0,4.705021212,47.719634,-122.29806299999998,47.659728,-122.317408
530330002002 to 530330053023,34.0,5.95,47.71968,-122.29807,47.65552,-122.30587
530330002002 to 530330073002,18.0,7.68,47.72028,-122.29825,47.61887,-122.33067
530330002002 to 530330214001,11.0,3.080136047,47.721782999999995,-122.301472,47.754297,-122.27959400000002
530330002002 to 530610514001,15.0,8.768166181,47.720347,-122.298113,47.808227,-122.296012
530330002003 to 530330049002,19.0,8.00947219,47.733884,-122.312822,47.651144,-122.352203
530330002003 to 530610417012,22.0,14.31,47.720349999999996,-122.31954,47.87853,-122.211405
530330002004 to 530330007001,12.666666666666666,2.3033333333333332,47.73106333333334,-122.31180666666667,47.71666,-122.29482999999999
530330002004 to 530330011001,9.0,2.39,47.73377,-122.31123999999998,47.70899,-122.3014
530330002004 to 530330026003,16.0,4.37,47.73307,-122.31059,47.67744,-122.3164
530330002004 to 530330043021,13.0,4.78,47.73235,-122.31087,47.66742,-122.30553
530330002004 to 530330086002,25.0,9.81,47.73178,-122.310875,47.605795,-122.320205
530330002004 to 530330204011,8.0,4.275653851,47.733744,-122.31198700000002,47.773773,-122.309691
530330002004 to 530610528031,36.5,32.675,47.733715000000004,-122.311095,48.151995,-122.18541499999999
530330002005 to 530330001005,4.5,1.01,47.721665,-122.311055,47.721450000000004,-122.29550499999999
530330002005 to 530330002002,5.0,1.184954497,47.721863,-122.31656,47.721783,-122.301472
530330002005 to 530330005001,13.0,3.691565111,47.719439,-122.312683,47.711623,-122.372169
530330002005 to 530330016003,17.0,5.210817206000001,47.723537,-122.313206,47.69300000000001,-122.378195
530330002005 to 530330033003,22.0,6.16,47.7198,-122.3134,47.67505,-122.38197
530330002005 to 530330043011,23.0,4.78,47.71965,-122.31193,47.66365,-122.30008
530330002005 to 530330047004,30.0,7.51,47.72128,-122.3121,47.66859,-122.38385
530330002005 to 530330089003,16.0,10.3,47.72113,-122.31229,47.59859,-122.30083
530330002006 to 530330007001,12.0,1.71,47.73014000000001,-122.30786,47.71599000000001,-122.29506
530330002006 to 530330018002,12.0,5.27,47.72923,-122.30266,47.69177,-122.34975
530330003001 to 530330026002,6.0,4.069358679,47.733481,-122.327281,47.681952,-122.31693500000002
530330003001 to 530330043011,31.0,6.01,47.73192,-122.32736,47.66593,-122.29729
530330003002 to 530330006001,5.0,1.14,47.73358,-122.33738,47.72471,-122.34378999999998
530330003002 to 530330012005,12.25,2.695,47.73359,-122.33712,47.705304999999996,-122.3334625
530330003002 to 530330013003,11.0,2.39,47.73293,-122.34473,47.70229000000001,-122.34392
530330003002 to 530330019003,15.0,3.33,47.7309,-122.34471,47.69453,-122.32314
530330003002 to 530330203004,8.0,3.17,47.73096,-122.34485,47.77315,-122.34961
530330003002 to 530330210003,3.0,0.384628649,47.733122,-122.34469,47.7382,-122.34475
530330004011 to 530330001005,12.8,3.4119663684000003,47.7267084,-122.347174,47.7210892,-122.29399040000001
530330004011 to 530330003002,5.0,0.58,47.73133,-122.35124,47.73293,-122.34473
530330004011 to 530330004011,16.666666666666668,1.150715110541667,47.73079033333334,-122.34930924999999,47.73062783333333,-122.34950112500002
530330004011 to 530330004013,5.888888888888889,0.5312060543333335,47.7296261111111,-122.35073699999998,47.72461744444445,-122.3533997777778
530330004011 to 530330004021,5.8,0.7979999999999999,47.732277999999994,-122.354088,47.722300000000004,-122.35577400000003
530330004011 to 530330004022,7.25,1.21,47.731955,-122.3531475,47.720975,-122.3462375
530330004011 to 530330006001,4.4,0.9505995307999999,47.7313022,-122.34952760000002,47.7253276,-122.33871979999999
530330004011 to 530330006004,8.25,2.054983529,47.730807999999996,-122.34968049999999,47.713962,-122.33666649999999
530330004011 to 530330006006,14.0,2.39,47.72871,-122.34707,47.71497,-122.31805
530330004011 to 530330007001,24.333333333333332,2.849646413,47.724613000000005,-122.34603666666668,47.71828299999999,-122.29522733333333
530330004011 to 530330007002,11.0,3.22,47.72826,-122.348555,47.712662,-122.299773
