Wallingford Branch - The Seattle Public Library,1501 North 45th Street,Seattle,47.6611801,-122.3389307,ChIJxZL2KlcUkFQRvMj-zXRI3H0,4.4,library,"0    4.85954
Name: distance.value, dtype: float64"
International District/Chinatown Branch - The Seattle Public Library,713 8th Avenue South,Seattle,47.5962327,-122.32278429999998,ChIJn-krn71qkFQR54uojagWKD8,4.4,library,"0    2.398384
Name: distance.value, dtype: float64"
West Seattle Branch - The Seattle Public Library,2306 42nd Avenue Southwest,Seattle,47.58268870000001,-122.3846956,ChIJ3VcWbG9AkFQR-NsDgadjWO4,4.1,library,"0    7.762585
Name: distance.value, dtype: float64"
Magnolia Branch - The Seattle Public Library,2801 34th Avenue West,Seattle,47.645323,-122.4014357,ChIJVwuub4YVkFQRgmCNdfT17B4,4.4,library,"0    6.886265
Name: distance.value, dtype: float64"
Delridge Branch - The Seattle Public Library,5423 Delridge Way Southwest,Seattle,47.5531615,-122.3633638,ChIJ3aIMp6lBkFQRoIT0hrJlwwk,4.2,library,"0    7.472343
Name: distance.value, dtype: float64"
Madrona-Sally Goldmark Branch - The Seattle Public Library,1134 33rd Avenue,Seattle,47.61267480000001,-122.2900202,ChIJ3XHObSdrkFQR1ZG6wstVcZ8,4.9,library,"0    0.594158
Name: distance.value, dtype: float64"
Planned Parenthood - Seattle Health Center,2001 East Madison Street,Seattle,47.6173333,-122.3050597,ChIJs2HFItRqkFQR9wboXMU06zM,3.3,hospital,"0    0.395898
Name: distance.value, dtype: float64"
Kaiser Permanente Capitol Hill Campus,201 16th Avenue East,Seattle,47.6195658,-122.3124495,ChIJq8vdpSwVkFQRNNnO1BauR9k,4.0,hospital,"0    1.037912
Name: distance.value, dtype: float64"
Swedish Cherry Hill Campus,500 17th Avenue,Seattle,47.60717879999999,-122.3104306,ChIJK1HatMVqkFQR8L5hMyMoq90,4.3,hospital,"0    1.19826
Name: distance.value, dtype: float64"
Virginia Mason Hospital: Seattle,925 Seneca Street,Seattle,47.6099071,-122.3273292,ChIJgTtB_LVqkFQRk2T_2wRKgGg,4.3,hospital,"0    1.629584
Name: distance.value, dtype: float64"
Swedish First Hill Campus,747 Broadway,Seattle,47.6088943,-122.3220427,ChIJK1HatMVqkFQRLSEF-lkF5L8,3.7,hospital,"0    1.384711
Name: distance.value, dtype: float64"
Seattle Children's Odessa Brown Children's Clinic,2101 East Yesler Way,Seattle,47.60132900000001,-122.304629,ChIJpYOzD8JqkFQRD_eWTAzVfek,4.6,hospital,"0    1.211933
Name: distance.value, dtype: float64"
Seattle Cancer Care Alliance,825 Eastlake Avenue East,Seattle,47.626721,-122.329657,ChIJpdvcrzoVkFQRxOKA5KBrPYU,4.6,hospital,"0    2.804848
Name: distance.value, dtype: float64"
Swedish,747 Broadway,Seattle,47.6088664,-122.3219078,ChIJIaimVchqkFQROvSZca1wkjo,3.7,hospital,"0    1.385333
Name: distance.value, dtype: float64"
Planned Parenthood - Roosevelt Health Center,5020 Roosevelt Way Northeast Unit 1,Seattle,47.66560629999999,-122.3172158,ChIJ34vP-2AUkFQRfX000CN_DRM,3.9,hospital,"0    5.447483
Name: distance.value, dtype: float64"
VA Puget Sound Health Care System,1660 South Columbian Way,Seattle,47.5634483,-122.3089096,ChIJEQjS1thBkFQR-Vphs0JrVVA,3.9,hospital,"0    4.830329
Name: distance.value, dtype: float64"
Virginia Mason Hospital and Seattle Medical Center,1100 9th Avenue,Seattle,47.61003590000001,-122.327796,ChIJx3kMjY8NkFQR9nFRWgZ3Ypc,4.1,hospital,"0    1.648229
Name: distance.value, dtype: float64"
Planned Parenthood - First Hill Health Center,1229 Madison Street Suite 1040,Seattle,47.6101561,-122.3220829,ChIJs31noMlqkFQRgbwXi3JnaZo,4.5,hospital,"0    1.309509
Name: distance.value, dtype: float64"
