origin,orig_lon,orig_lat,distance,destination,weight,dest_lon,dest_lat
530330069001,-122.3649740067086,47.63717491384239,1.262004501,530330059001,24.39990820171343,-122.3696934298508,47.65382560734569
530330069001,-122.3649740067086,47.63717491384239,1.262004501,530330059001,24.39990820171343,-122.3696934298508,47.65382560734569
530330058014,-122.3842163377857,47.65593113617559,1.610593632,530330059001,21.0820193814537,-122.3696934298508,47.65382560734569
530330042001,-122.2732226188514,47.67271068026359,5.03186391473793,530330059001,0.0,-122.3696934298508,47.65382560734569
530330040001,-122.2578690162244,47.68107358426966,9.480881651157242,530330059001,0.0,-122.3696934298508,47.65382560734569
530330058023,-122.3820419380063,47.63485888503193,1.757859102839418,530330059001,5.651578621607394,-122.3696934298508,47.65382560734569
530330058023,-122.3820419380063,47.63485888503193,2.323306887775392,530330059001,5.651578621607394,-122.3696934298508,47.65382560734569
530330073003,-122.3363612588617,47.61987671863449,3.797820726954585,530330059001,5.763763948840114,-122.3696934298508,47.65382560734569
530330073003,-122.3363612588617,47.61987671863449,3.896618746520321,530330059001,5.763763948840114,-122.3696934298508,47.65382560734569
530330073003,-122.3363612588617,47.61987671863449,3.872385270023065,530330059001,5.763763948840114,-122.3696934298508,47.65382560734569
530330073003,-122.3363612588617,47.61987671863449,3.920852223017577,530330059001,0.0,-122.3696934298508,47.65382560734569
530330073003,-122.3363612588617,47.61987671863449,3.87114252763859,530330059001,0.0,-122.3696934298508,47.65382560734569
530330073003,-122.3363612588617,47.61987671863449,3.958134494551817,530330059001,5.763763948840114,-122.3696934298508,47.65382560734569
530330073003,-122.3363612588617,47.61987671863449,3.981746599856836,530330059001,5.763763948840114,-122.3696934298508,47.65382560734569
530330073003,-122.3363612588617,47.61987671863449,4.347734232084625,530330059001,5.763763948840114,-122.3696934298508,47.65382560734569
530330073003,-122.3363612588617,47.61987671863449,3.905317943211644,530330059001,0.0,-122.3696934298508,47.65382560734569
530330073003,-122.3363612588617,47.61987671863449,3.945085699514833,530330059001,5.763763948840114,-122.3696934298508,47.65382560734569
530330093002,-122.3353433130898,47.58945890857957,4.275033802592858,530330059001,5.651578621607394,-122.3696934298508,47.65382560734569
530330054003,-122.3424918081336,47.65026696500254,2.06730195657361,530330059001,5.651578621607394,-122.3696934298508,47.65382560734569
530330057001,-122.415900578961,47.66163646122516,2.238178342,530330059001,24.24389655907265,-122.3696934298508,47.65382560734569
530330092002,-122.3333759957955,47.60040637074011,4.201090630716615,530330059001,5.651578621607394,-122.3696934298508,47.65382560734569
530330081002,-122.3342988711973,47.60683499215727,4.583232496,530330059001,52.15513577254377,-122.3696934298508,47.65382560734569
530330031005,-122.3999845627602,47.68772192262185,4.102292611150879,530330059001,5.763763948840114,-122.3696934298508,47.65382560734569
530330031005,-122.3999845627602,47.68772192262185,3.912774397518492,530330059001,5.763763948840114,-122.3696934298508,47.65382560734569
530330053023,-122.3014570572653,47.65576428749345,5.185340995,530330059001,476.114478465083,-122.3696934298508,47.65382560734569
530330033005,-122.3815142410318,47.67795779968646,2.056117275113338,530330059001,0.0,-122.3696934298508,47.65382560734569
530330047004,-122.3829663505432,47.66711567368115,1.673973474,530330059001,24.246192033731344,-122.3696934298508,47.65382560734569
530330047004,-122.3829663505432,47.66711567368115,2.184119740714229,530330059001,0.0,-122.3696934298508,47.65382560734569
530330050001,-122.3408256134772,47.66271235975312,3.257849160900342,530330059001,5.651578621607394,-122.3696934298508,47.65382560734569
530330050001,-122.3408256134772,47.66271235975312,3.221188260558339,530330059001,5.651578621607394,-122.3696934298508,47.65382560734569
530330050001,-122.3408256134772,47.66271235975312,1.532301360057265,530330059001,0.0,-122.3696934298508,47.65382560734569
530330059005,-122.3645130446097,47.6430278426068,1.13,530330059001,23.0528723798443,-122.3696934298508,47.65382560734569
530330036004,-122.3261224296813,47.67734121020256,5.016328083,530330059001,24.243131934904742,-122.3696934298508,47.65382560734569
530330047002,-122.3716696735057,47.66362908108444,1.360802910999761,530330059001,5.763763948840114,-122.3696934298508,47.65382560734569
530330047002,-122.3716696735057,47.66362908108444,1.710013521037143,530330059001,0.0,-122.3696934298508,47.65382560734569
530330047002,-122.3716696735057,47.66362908108444,1.058816511572417,530330059001,5.763763948840114,-122.3696934298508,47.65382560734569
530330047002,-122.3716696735057,47.66362908108444,1.060680625149129,530330059001,5.763763948840114,-122.3696934298508,47.65382560734569
530330047002,-122.3716696735057,47.66362908108444,1.69199375646226,530330059001,5.763763948840114,-122.3696934298508,47.65382560734569
530330047002,-122.3716696735057,47.66362908108444,1.961668853893263,530330059001,0.0,-122.3696934298508,47.65382560734569
530330059003,-122.3642587049601,47.64857247540314,0.558612529,530330059001,21.0808166303249,-122.3696934298508,47.65382560734569
530330059003,-122.3642587049601,47.64857247540314,0.558612529,530330059001,21.0808166303249,-122.3696934298508,47.65382560734569
530330059003,-122.3642587049601,47.64857247540314,0.558612529,530330059001,21.0808166303249,-122.3696934298508,47.65382560734569
530330059003,-122.3642587049601,47.64857247540314,0.558612529,530330059001,21.0808166303249,-122.3696934298508,47.65382560734569
530330059003,-122.3642587049601,47.64857247540314,0.244820174,530330059001,21.0808166303249,-122.3696934298508,47.65382560734569
530330049003,-122.3525715108506,47.65362431585132,1.61991469816273,530330059001,0.0,-122.3696934298508,47.65382560734569
530330006001,-122.336523922602,47.7251235764282,6.713294360932156,530330059001,0.0,-122.3696934298508,47.65382560734569
530330019001,-122.3280433316689,47.69949343951196,4.001009106816193,530330059001,7.150475501623578,-122.3696934298508,47.65382560734569
