tract,dist_under_2,dist_2_to_10,bg_dest,proximity_ratio
530330001,10328.365436797998,11900.151717075,146,0.8679188032517505
530330004,7693.770448494991,7545.888616976998,343,1.0195976695422304
530330006,12044.093066685002,39586.95301888701,174,0.3042440033447066
530330007,2600.0466964419998,7574.386992193002,395,0.3432682670058837
530330012,12956.382691682995,27226.628342359003,451,0.47587172854324905
530330013,3427.068778400001,3610.793206886,157,0.9491179865588466
530330016,5979.753801184,5622.356620865001,107,1.0635671488700433
530330017,13707.611589498001,14087.109868362004,268,0.9730606006192717
530330018,3443.767944818002,9471.808855108002,315,0.36358081096208256
530330019,8351.600471977996,16086.525640530002,191,0.5191674484971532
530330026,10669.383109339002,7676.8956721089935,320,1.3898043642955895
530330030,7692.010067344999,3812.6499155159995,140,2.01749707887984
530330032,14249.670940438995,9318.448360975995,245,1.529189237138887
530330033,21543.03788036003,6349.468521379999,363,3.3928883666121155
530330036,23751.199532603005,9744.994897778999,548,2.4372716232017924
530330041,17647.884984466,6675.458775118998,134,2.6436961981165714
530330042,18241.788866377,10823.799663223,100,1.6853405859273956
530330043,8992.825188125991,27673.269434112997,522,0.32496432015511995
530330044,19678.205362602992,11586.199534361,302,1.6984176134929891
530330046,5193.994904073999,18134.142338503007,104,0.2864207640548811
530330047,42447.877682665945,26297.605868475,977,1.614134681878077
530330049,12652.196633472995,13764.947171270996,409,0.9191605660412241
530330050,25289.203807176003,14636.265257910007,320,1.7278454142192274
530330052,33262.50240014502,9597.554700087992,443,3.465726785578004
530330053,87739.48524373787,57615.90990388199,1293,1.5228343245834297
530330054,23212.291365784993,17004.596777881994,399,1.3650597934775728
530330058,18388.363049295,22923.321984429,214,0.8021683358889067
530330059,4762.746139277,6203.076949044998,143,0.7678038138814728
530330061,13173.184747293999,9467.853821777004,173,1.391359118472485
530330065,2411.7694805660003,3115.4690648969995,111,0.7741272438684079
530330066,15306.035402254998,12388.889094075012,417,1.235464720527292
530330067,14569.042528655998,10438.070625364002,176,1.3957601027582565
530330070,13516.726477459004,23546.50358137,310,0.5740438885437514
530330071,10931.122782528006,9408.394122314998,477,1.1618478818400446
530330072,33553.51700818199,14320.327340193004,794,2.3430691359971223
530330073,28661.863128477013,13027.251969467028,939,2.200146523277052
530330074,22954.13397249003,10303.638414010002,845,2.227769749885533
530330075,25682.046141995997,12147.303688247996,774,2.114217838057535
530330076,6414.282929981,3230.5332699880005,189,1.9855183011332447
530330079,19977.608307169998,7471.455876399999,325,2.67385749680635
530330080,18925.06071549799,9677.786860952998,539,1.9555153453373728
530330082,13617.574467446992,10750.43902062599,480,1.2666993823526707
530330083,15760.908265987002,7425.934666549,162,2.122414076302593
530330084,14480.06737899801,9205.664406307002,425,1.572951906554121
530330085,21193.17645011801,11362.776027282993,223,1.865140736667817
530330086,12096.735159048005,15167.034298905004,288,0.7975676009331196
530330087,5277.706324374997,4211.064964791997,368,1.2532949191002771
530330089,5838.289768431,1089.604099725,122,5.358175294957589
530330090,4448.686827605002,4580.717527802,222,0.971176851793271
530330091,12407.61897779299,10166.900361589003,365,1.2203934863638009
530330092,5883.844211085999,14546.765105602002,217,0.4044778456496911
530330093,17206.176235158004,44407.39475452698,945,0.38746196056466414
530330094,13052.08265955,6874.498721536001,287,1.8986231852311282
530330095,9770.872325555,14315.709726072,371,0.6825279718937113
530330096,5215.406281497001,2326.8451601999996,162,2.2414066783235036
530330098,52477.12223850402,13613.874440621004,505,3.854679464497121
530330099,7363.818718074006,12719.685553075004,272,0.5789308774456136
530330100,15882.407056021997,21404.753487616,287,0.7420037360024245
530330101,2360.4163604600003,2280.1566181749995,157,1.035199223441607
530330103,16242.320588921,6527.114157717001,340,2.488438258693196
530330105,21038.93946569501,22544.745600114995,310,0.9332081114983926
530330106,16494.783322632,14979.298984311994,364,1.1011719133123112
530330109,1864.525059264,5101.852690339001,183,0.3654603871246052
530330110,7553.438408820004,5299.652557713999,223,1.4252704920864046
530330112,983.4836357869996,4933.099639819,136,0.1993642349829132
530330114,8427.052118464006,9041.057938502994,325,0.9320869499769343
530330118,13096.987566551998,8691.021483692,180,1.506956068527438
