SERIALNO,HINCP,NP,WGTP,DOWNTOWN,NORTHEAST,NORTHWEST,SOUTHEAST,WEST,AGEP,DDRS,ENG,DEAR,DEYE,DOUT,MIG,HISP,JWMNP,BIKING,DRIVING,TRANSIT,WALKING,MALE,FEMALE,SCHL,WHITE_ALONE,BLACK_ALONE,NATIVE_INDIAN,ASIAN_ALONE,PACIFIC_ISLANDER,OTHER_RACE
19,10750,450305.25447841856,3,131,0.0,0.0,0.0,0.0,1.0,43.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.6666666666666666,4.666666666666667,1.0,0.0,0.0,0.0,0.0,0.0
20,10932,361500.86940918624,4,137,0.0,1.0,0.0,0.0,0.0,23.5,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,8.75,0.5,0.5,0.0,0.0,0.5,0.5,2.5,1.0,0.0,0.0,0.0,0.0,0.0
21,10941,136390.1310308587,2,108,0.0,0.0,1.0,0.0,0.0,60.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,20.0,0.0,0.5,0.5,0.0,0.5,0.5,5.0,1.0,0.0,0.0,0.0,0.0,0.0
22,11185,248191.5007241516,2,107,0.0,0.0,0.0,1.0,0.0,28.5,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,50.0,0.0,0.5,0.5,0.0,0.5,0.5,5.0,0.5,0.0,0.0,0.5,0.0,0.0
23,11597,103674.93068224055,2,129,1.0,0.0,0.0,0.0,0.0,30.5,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,0.5,0.5,3.0,1.0,0.0,0.0,0.0,0.0,0.0
24,11690,90061.05089568371,1,548,0.0,0.0,1.0,0.0,0.0,29.0,1.0,0.5240049415992813,1.0,1.0,1.0,2.0,0.0,40.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
25,11752,29699.20236513477,1,510,1.0,0.0,0.0,0.0,0.0,28.0,1.0,0.5240049415992813,1.0,1.0,1.0,2.0,0.0,0.0,0.0433146924250127,0.6217602343428477,0.23057714188878398,0.23057714188878384,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
26,13526,15394.156374029657,1,200,0.0,0.0,0.0,0.0,1.0,85.0,0.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,0.0,0.0433146924250127,0.6217602343428477,0.23057714188878398,0.23057714188878384,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,13694,89013.82937364088,1,55,0.0,0.0,0.0,0.0,1.0,33.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
28,14144,96344.38002794072,2,118,0.0,0.0,1.0,0.0,0.0,33.5,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.5,0.5,4.0,1.0,0.0,0.0,0.0,0.0,0.0
29,14663,236672.06398168046,2,116,1.0,0.0,0.0,0.0,0.0,61.5,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,17.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
30,15719,218345.68734593087,2,64,0.0,0.0,0.0,1.0,0.0,63.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,12.5,0.0,1.0,0.0,0.0,0.5,0.5,5.0,1.0,0.0,0.0,0.0,0.0,0.0
31,15874,89013.82937364088,2,56,1.0,0.0,0.0,0.0,0.0,32.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.5,0.5,3.5,1.0,0.0,0.0,0.0,0.0,0.0
32,15988,21677.48550628666,2,149,0.0,0.0,0.0,1.0,0.0,30.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.5,0.0,0.0,0.0,0.0,0.5
33,16191,21991.651962899512,1,145,1.0,0.0,0.0,0.0,0.0,68.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,0.0,0.0433146924250127,0.6217602343428477,0.23057714188878398,0.23057714188878384,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
34,16543,134463.24343029986,2,119,0.0,0.0,1.0,0.0,0.0,66.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,47.0,0.0,1.0,0.0,0.0,0.5,0.5,4.0,1.0,0.0,0.0,0.0,0.0,0.0
35,16705,40841.639359670524,1,65,0.0,0.0,0.0,0.0,1.0,26.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
36,17211,91736.60533095224,5,78,0.0,1.0,0.0,0.0,0.0,36.8,1.0,0.5240049415992813,0.8,1.0,1.0,0.0,0.0,10.4,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.6,2.0,0.8,0.0,0.0,0.0,0.0,0.2
37,17269,42621.91594714334,1,67,1.0,0.0,0.0,0.0,0.0,63.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,10.0,0.0433146924250127,0.6217602343428477,0.23057714188878398,0.23057714188878384,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
38,17408,49428.855840421755,1,107,0.0,1.0,0.0,0.0,0.0,86.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0433146924250127,0.6217602343428477,0.23057714188878398,0.23057714188878384,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
39,17721,146611.01308599673,3,70,0.0,0.0,1.0,0.0,0.0,25.666666666666668,1.0,0.5240049415992813,1.0,1.0,1.0,1.3333333333333333,0.0,15.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,2.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
40,18780,39155.61270918156,1,124,0.0,0.0,0.0,1.0,0.0,65.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
41,20904,16755.54435268534,1,231,0.0,0.0,0.0,0.0,1.0,54.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42,21289,39270.80707660627,1,97,0.0,0.0,1.0,0.0,0.0,64.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,1.0,0.0,0.0433146924250127,0.6217602343428477,0.23057714188878398,0.23057714188878384,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
43,21669,109958.25981449755,1,105,0.0,0.0,0.0,1.0,0.0,40.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
44,22320,62833.29132257003,1,90,0.0,0.0,1.0,0.0,0.0,28.0,1.0,0.5240049415992813,1.0,1.0,1.0,2.0,0.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
45,22726,43197.887784266895,1,69,0.0,1.0,0.0,0.0,0.0,37.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,30.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
46,23035,55502.74066827019,2,184,0.0,0.0,1.0,0.0,0.0,57.0,1.0,0.5240049415992813,0.5,1.0,1.0,0.0,0.0,22.5,0.0,1.0,0.0,0.0,0.5,0.5,5.0,1.0,0.0,0.0,0.0,0.0,0.0
47,23076,117288.8104687974,2,70,0.0,0.0,0.0,0.0,1.0,56.5,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
48,23659,10472.21522042834,2,127,0.0,0.0,1.0,0.0,0.0,34.5,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,0.0,0.0433146924250127,0.6217602343428477,0.23057714188878398,0.23057714188878384,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0
49,24702,7330.550654299837,2,91,1.0,0.0,0.0,0.0,0.0,46.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0433146924250127,0.6217602343428477,0.23057714188878398,0.23057714188878384,0.5,0.5,2.5,0.0,0.0,0.0,0.0,0.0,1.0
50,25800,77525.809276831,2,111,0.0,1.0,0.0,0.0,0.0,20.5,1.0,0.5240049415992813,1.0,1.0,1.0,2.0,0.0,20.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0
51,26218,74562.17236944978,3,64,0.0,0.0,1.0,0.0,0.0,24.666666666666668,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,21.666666666666668,0.5,0.5,0.0,0.0,0.3333333333333333,0.6666666666666666,5.0,1.0,0.0,0.0,0.0,0.0,0.0
