hhid,numchildren,hh_wt_revised,hhincome_broad,hhsize,vehicle_count,home_ownership,offpark,res_dur,mean_age,proportion_white,mean_education_year,proportion_employed,proportion_student,personid_count,mean_distance,mean_depart_time,mean_num_travelers,prop_driving_alone,prop_driving_with_others,prop_transit,prop_biking,prop_walking,mean_duration,prop_went_home,prop_went_work,prop_errands,prop_social,prop_gave_ride,tripid
0,17100024,1,26.2249808974541,4.0,3,1,1.0,1,2,20.333333333333332,1.0,6.0,1.0,0.5,3,1.1516667648571428,621.0714285714286,1.2857142857142858,0.35714285714285715,0.0,0.07142857142857142,0.21428571428571427,0.35714285714285715,5.071428571428571,0.5,0.2857142857142857,0.14285714285714285,0.0,0.07142857142857142,14
1,17100052,0,25.6928255166116,1.0,1,0,0.0,1,4,69.5,1.0,6.0,1.0,0.0,1,0.8475500440000001,735.0,1.0,0.0,0.0,0.6,0.0,0.4,5.4,0.2,0.0,0.6,0.2,0.0,5
2,17100059,0,47.7687283056311,5.0,1,0,0.0,0,1,29.5,0.0,4.0,1.0,0.0,1,3.7136996362296815,947.6315789473684,2.236842105263158,0.045454545454545456,0.0,0.18181818181818182,0.0,0.7727272727272727,18.92105263157895,0.30303030303030304,0.2727272727272727,0.09090909090909091,0.3333333333333333,0.0,38
3,17100102,0,318.861344344584,4.0,1,1,0.0,1,3,39.5,1.0,6.0,1.0,0.0,1,42.8939857756,589.0,1.4,1.0,0.0,0.0,0.0,0.0,46.0,0.2,0.2,0.2,0.0,0.4,5
4,17100108,0,24.8994616891559,5.0,2,1,0.0,3,2,29.5,0.0,6.0,1.0,0.0,2,7.60527035675,626.25,1.0,0.0,0.0,0.0,0.0,1.0,14.75,0.5,0.5,0.0,0.0,0.0,4
5,17100111,2,167.399999994814,5.0,3,2,1.0,1,4,37.25,1.0,6.0,1.0,0.0,4,1.723199865444445,655.2777777777778,1.3888888888888888,0.6111111111111112,0.0,0.0,0.05555555555555555,0.3333333333333333,6.166666666666667,0.3888888888888889,0.3888888888888889,0.2222222222222222,0.0,0.0,18
6,17100137,0,142.036552124741,1.0,1,1,1.0,1,3,39.5,1.0,2.0,1.0,0.0,1,0.831394398,610.0,1.5,0.0,0.0,0.0,0.0,1.0,5.75,0.25,0.5,0.0,0.25,0.0,4
7,17100179,1,14.0808154426337,5.0,3,2,1.0,2,4,41.833333333333336,1.0,6.0,1.0,0.0,3,5.731111856666668,256.6666666666667,1.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,14.666666666666666,0.0,1.0,0.0,0.0,0.0,3
8,17100208,1,1822.07361753335,3.0,3,2,0.0,1,2,30.833333333333332,0.5,4.0,1.0,0.0,3,6.288831200823531,631.1764705882352,1.1764705882352942,0.7647058823529411,0.0,0.058823529411764705,0.0,0.17647058823529413,11.470588235294118,0.23529411764705882,0.29411764705882354,0.35294117647058826,0.058823529411764705,0.058823529411764705,17
9,17100221,0,51.94565671533,5.0,1,0,0.0,0,1,39.5,1.0,2.0,1.0,0.0,1,0.6326385869999999,465.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,3
10,17100248,0,478.655191090949,5.0,1,0,1.0,1,3,39.5,1.0,4.0,1.0,0.0,1,1.9574652600243159,860.9761904761905,1.2380952380952381,0.0,0.02564102564102564,0.1282051282051282,0.15384615384615385,0.6923076923076923,17.785714285714285,0.30952380952380953,0.21428571428571427,0.14285714285714285,0.3333333333333333,0.0,42
11,17100280,0,98.3084150994092,2.0,1,0,0.0,0,3,39.5,1.0,4.0,0.0,0.0,1,1.61157530925,856.25,1.0,0.0,0.0,0.5,0.0,0.5,23.25,0.5,0.0,0.5,0.0,0.0,4
12,17100303,0,12.9925646376735,3.0,2,2,0.0,3,2,29.5,0.5,1.5,1.0,0.5,2,4.450671235255063,958.8055555555555,1.787037037037037,0.8981481481481481,0.018518518518518517,0.07407407407407407,0.0,0.009259259259259259,16.47222222222222,0.22857142857142856,0.2,0.29523809523809524,0.19047619047619047,0.08571428571428572,108
13,17100326,0,22.7212082715957,5.0,2,1,0.0,1,2,29.5,1.0,3.0,1.0,0.0,2,4.7688335015,630.0,1.0,0.5,0.0,0.0,0.0,0.5,10.75,0.5,0.0,0.5,0.0,0.0,4
14,17100342,0,4.25309979045278,5.0,2,2,0.0,3,1,29.5,1.0,5.0,1.0,0.0,2,5.250583398149613,944.0519480519481,1.5844155844155845,0.8666666666666667,0.0,0.08,0.0,0.05333333333333334,21.935064935064936,0.2631578947368421,0.2894736842105263,0.21052631578947367,0.15789473684210525,0.07894736842105263,77
15,17100372,0,25.7771591642276,5.0,2,1,0.0,1,3,39.5,1.0,5.0,0.5,0.0,2,0.9488335170000001,715.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,6.333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,3
16,17100410,0,48.7472599508913,3.0,1,0,0.0,0,3,39.5,1.0,4.0,1.0,0.0,1,1.2957023291668956,917.1923076923077,1.7692307692307692,0.09523809523809523,0.14285714285714285,0.23809523809523808,0.0,0.5238095238095238,8.5,0.34615384615384615,0.23076923076923078,0.23076923076923078,0.19230769230769232,0.0,26
17,17100411,0,24.9885667310646,3.0,1,0,0.0,3,3,29.5,1.0,4.0,1.0,1.0,1,9.272887560000001,627.5,1.0,0.0,0.0,1.0,0.0,0.0,21.0,0.5,0.5,0.0,0.0,0.0,2
18,17100414,1,526.313050978486,5.0,3,2,1.0,2,2,27.0,1.0,5.0,1.0,0.0,3,3.6642869241,617.0,1.4,1.0,0.0,0.0,0.0,0.0,9.9,0.3,0.4,0.1,0.1,0.1,10
19,17100441,0,22.9958480304202,5.0,2,1,1.0,1,3,64.5,1.0,6.0,0.5,0.0,2,3.975609329375,709.375,1.5,0.75,0.125,0.125,0.0,0.0,14.875,0.375,0.375,0.25,0.0,0.0,8
20,17100482,0,35.0998299303549,3.0,1,1,0.0,3,3,59.5,1.0,2.0,1.0,0.0,1,3.5045324399999997,676.6666666666666,1.0,1.0,0.0,0.0,0.0,0.0,13.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,3
21,17100492,0,45.8128946480259,1.0,1,1,0.0,1,4,69.5,1.0,4.0,1.0,0.0,1,1.2203509803333332,486.6666666666667,1.0,0.0,0.0,0.0,0.0,1.0,5.666666666666667,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,3
22,17100501,0,30.3967326514221,3.0,1,0,0.0,1,1,29.5,1.0,4.0,1.0,0.0,1,5.552987221294308,757.8333333333334,2.125,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.0,0.4166666666666667,25.125,0.375,0.25,0.125,0.25,0.0,24
23,17100563,0,22.2854043434589,3.0,1,1,1.0,1,3,39.5,0.0,4.0,1.0,0.0,1,8.23767069,857.5,1.0,1.0,0.0,0.0,0.0,0.0,14.75,0.5,0.25,0.25,0.0,0.0,4
24,17100569,0,43.9157335775292,3.0,1,0,0.0,0,3,29.5,0.0,4.0,1.0,0.0,1,11.60814234,597.5,6.0,0.0,0.0,1.0,0.0,0.0,19.0,0.5,0.5,0.0,0.0,0.0,2
25,17100590,0,87.7640241702637,3.0,1,1,0.0,1,1,21.0,1.0,4.0,1.0,0.0,1,8.170572531416525,898.475,1.85,0.8,0.0,0.025,0.0,0.175,20.325,0.3333333333333333,0.20512820512820512,0.2564102564102564,0.15384615384615385,0.05128205128205128,40
26,17100627,0,23.2542374586601,3.0,1,1,0.0,1,3,39.5,1.0,4.0,1.0,0.0,1,2.31041272075,720.625,1.25,0.5,0.0,0.125,0.0,0.375,8.875,0.5,0.125,0.125,0.25,0.0,8
27,17100681,0,13.3809445694184,5.0,2,1,1.0,1,1,29.5,0.5,6.0,1.0,0.0,2,6.2014068542,673.0,2.2,0.0,0.0,0.8,0.0,0.2,13.2,0.4,0.4,0.0,0.2,0.0,5
28,17100717,0,2182.773969897,1.0,1,0,0.0,1,2,59.5,1.0,4.0,0.0,0.0,1,2.7837420799999997,690.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,9.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,3
29,17100760,1,1473.62847599998,5.0,3,2,1.0,2,4,34.125,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,4,7.97266509635294,615.2941176470588,1.4705882352941178,0.8823529411764706,0.0,0.11764705882352941,0.0,0.0,15.705882352941176,0.35294117647058826,0.17647058823529413,0.23529411764705882,0.11764705882352941,0.11764705882352941,17
30,17100807,0,15.5005580150655,3.0,1,1,1.0,2,3,59.5,1.0,6.0,1.0,0.0,1,5.503948975,761.25,1.0,0.5,0.0,0.0,0.0,0.5,10.25,0.5,0.0,0.5,0.0,0.0,4
31,17100818,0,12.9875359237775,2.0,1,1,1.0,3,3,59.5,1.0,1.0,1.0,0.0,1,8.281123532686754,920.7941176470588,1.088235294117647,1.0,0.0,0.0,0.0,0.0,19.794117647058822,0.21212121212121213,0.18181818181818182,0.3939393939393939,0.18181818181818182,0.030303030303030304,34
