hhid,numchildren,hh_wt_revised,hhincome_broad,hhsize,vehicle_count,home_ownership,offpark,year_residence,mean_age,proportion_white,mean_education_year,proportion_employed,proportion_student,mean_distance,mean_depart_time,mean_num_travelers,prop_driving_alone,prop_driving_with_others,prop_transit,prop_biking,prop_walking,mean_duration,prop_went_home,prop_went_work,prop_errands,prop_social,prop_gave_ride,cluster
17148792,0,4.41192975689749,2.0,1,1,0.0,1,3,29.5,1.0,4.0,1.0,0.0,0.65383763475,832.5,1.25,0.0,0.0,0.0,0.0,1.0,4.5,0.5,0.25,0.0,0.0,0.25,2
17148793,0,51.32499530288239,4.0,1,1,0.0,1,3,69.5,1.0,1.0,0.0,0.0,1.3413328653333334,695.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,8.666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,5
17148800,0,4.38293388496381,5.0,2,1,0.0,1,3,29.5,0.0,5.0,1.0,0.0,1.905,768.75,2.0,0.0,0.0,0.5,0.0,0.5,8.25,0.25,0.5,0.0,0.25,0.0,3
17148840,0,25.4585190236899,2.0,1,1,0.0,1,1,21.0,0.0,4.0,1.0,0.0,3.78119787775,791.25,1.0,0.5,0.0,0.5,0.0,0.0,9.0,0.5,0.25,0.25,0.0,0.0,3
17148852,0,492.90000000000197,5.0,2,2,1.0,1,4,59.5,1.0,6.0,1.0,0.0,18.543075482666666,537.2222222222222,2.1111111111111107,0.5555555555555556,0.2222222222222222,0.0,0.0,0.2222222222222222,26.66666666666667,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.0,1
17148886,1,15.9157281246134,5.0,3,2,1.0,2,4,40.833333333333336,1.0,6.0,1.0,0.0,5.513528159012907,808.2307692307692,1.625,0.8653846153846154,0.0,0.08653846153846154,0.019230769230769232,0.02884615384615385,23.586538461538463,0.2912621359223301,0.11650485436893206,0.2427184466019417,0.1553398058252427,0.1941747572815534,0
17148930,2,14.374919270506402,5.0,4,2,1.0,5,3,22.25,0.5,6.0,1.0,0.0,1.9591383793571429,661.0714285714286,1.5714285714285714,0.5714285714285714,0.0,0.2857142857142857,0.0,0.14285714285714285,6.2857142857142865,0.35714285714285715,0.2857142857142857,0.07142857142857142,0.0,0.2857142857142857,0
17148953,0,48.21079569745629,5.0,1,0,0.0,10,3,59.5,1.0,4.0,1.0,0.0,5.242360302320932,848.3783783783783,1.027027027027027,0.1,0.03333333333333333,0.6333333333333333,0.0,0.2333333333333333,20.783783783783786,0.28125,0.375,0.25,0.09375,0.0,3
17148964,0,24.602346911434303,5.0,2,2,1.0,2,4,74.5,1.0,5.0,0.0,0.0,8.034027036833331,588.3333333333334,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,21.0,0.25,0.0,0.25,0.5,0.0,5
17149083,1,343.884683684646,2.0,3,2,0.0,0,2,20.33333333333333,0.5,4.0,1.0,0.0,10.827641215875001,721.875,1.5,0.5,0.0,0.25,0.0,0.25,15.375,0.5,0.125,0.0,0.375,0.0,2
17149123,1,31.426897314622696,5.0,3,0,1.0,0,2,20.33333333333333,1.0,6.0,1.0,0.0,2.0998914844769225,693.5970149253732,2.2089552238805967,0.0,0.0,0.2923076923076923,0.0,0.7076923076923077,21.94029850746269,0.453125,0.1875,0.09375,0.140625,0.125,0
17149131,0,13.854597434651101,5.0,2,2,1.0,2,2,39.5,1.0,5.0,1.0,0.0,8.466183509139958,761.2083333333335,1.5,0.7708333333333334,0.02083333333333333,0.08333333333333333,0.0,0.125,24.3125,0.3125,0.2708333333333333,0.22916666666666666,0.1875,0.0,1
17149139,0,51.972158705275405,2.0,1,1,1.0,10,4,89.5,1.0,6.0,0.0,0.0,2.80657746425,820.0,1.0,0.0,0.0,1.0,0.0,0.0,11.5,0.5,0.0,0.5,0.0,0.0,5
17149247,0,20.780769332846898,3.0,2,1,0.0,1,3,39.5,1.0,4.0,0.5,0.0,3.793481674165729,828.8928571428571,1.4285714285714286,0.625,0.0,0.0,0.17857142857142858,0.19642857142857145,21.535714285714285,0.3392857142857143,0.125,0.25,0.19642857142857145,0.08928571428571429,2
17149285,1,3434.36879633587,3.0,3,2,1.0,3,4,37.5,1.0,2.5,0.5,0.0,14.697992745355627,925.6321839080459,2.0588235294117645,0.6144578313253012,0.13253012048192772,0.04819277108433735,0.0963855421686747,0.10843373493975904,30.57471264367816,0.3333333333333333,0.027777777777777776,0.2638888888888889,0.3611111111111111,0.013888888888888888,0
17149293,0,180.549760780969,4.0,1,1,0.0,1,2,29.5,1.0,4.0,1.0,0.0,11.233908620876665,860.4230769230769,2.6538461538461537,0.5,0.38461538461538464,0.0,0.0,0.1153846153846154,29.5,0.3333333333333333,0.08333333333333333,0.25,0.2916666666666667,0.04166666666666666,2
17149340,0,23.5666956253873,2.0,1,1,0.0,5,4,69.5,0.0,6.0,1.0,0.0,9.360022059,743.75,1.0,0.0,0.0,1.0,0.0,0.0,16.0,0.5,0.5,0.0,0.0,0.0,3
