,mean_age,proportion_employed,proportion_student,mean_education_year,year_residence,hhincome_broad,numchildren,prop_driving_alone,prop_driving_with_others,prop_biking,prop_walking,prop_transit,vehicle_count,prop_went_home,prop_went_work,prop_errands,prop_social,prop_gave_ride,proportion_white,proportion_black,proportion_asian,proportion_hispanic,hhsize,number_of_trips,mean_distance,mean_duration,proportion_female,no_vehicle,mean_driving_duration,mean_transit_duration,mean_biking_duration,mean_walking_duration
family-(wo)man,26.08698841698842,0.8477477477477477,0.06531531531531531,4.5927927927927925,9.389189189189189,5.0,1.518918918918919,0.6489478527823015,0.021464395463608628,0.0356219363340274,0.21679701620600536,0.07716879921405695,1.6,0.37397394825229685,0.21167189837969097,0.17670362103400603,0.09863732449540182,0.13901320783860407,0.7608108108108108,0.02972972972972973,0.14189189189189189,0.02972972972972973,3.502702702702703,30.102702702702704,5.27364064953684,12.452571382630513,0.5061335403726708,0.021621621621621623,13.571563030506022,21.037224390900526,22.304308988132515,8.25620271194062
fit-urbanites,35.043845315904136,0.9055918663761802,0.1744734931009441,4.132534495279594,4.568627450980392,3.0,0.030501089324618737,0.07880468449553629,0.004237358597523716,0.06287925944788689,0.43325233500727894,0.42082636245177396,0.6339869281045751,0.3993346723579111,0.3813856723435196,0.13635577091720827,0.07768697159800952,0.005236912783352411,0.6871822803195351,0.033950617283950615,0.19426289034132171,0.04938271604938271,1.5490196078431373,6.209150326797386,6.753365567451633,13.37970455311861,0.4743875278396438,0.42483660130718953,16.36506116207951,16.002500086128187,12.088101851851851,5.298158512235919
tired-commuter,34.083240327380956,0.9259672619047619,0.14192708333333334,4.144159226190476,4.359375,3.0,0.020089285714285716,0.4080740485946457,0.07589732507077128,0.03346758410813781,0.3446138479278966,0.1379471942985486,0.8616071428571429,0.31939302530434516,0.18491480986064604,0.21440929081397478,0.26048978947174445,0.020569870263575644,0.7797619047619048,0.027901785714285716,0.13839285714285715,0.052083333333333336,1.4419642857142858,32.792410714285715,8.427301315356319,18.43450476536765,0.5322097378277153,0.265625,19.60991972062668,30.58023137839594,37.778433465765055,14.535163092973757
jolly-retiree,65.20611285266457,0.19383490073145246,0.025078369905956112,3.9294670846394983,12.984326018808778,2.0,0.006269592476489028,0.42498872879115346,0.026824840769103502,0.00838589566231093,0.35164507518719657,0.18815545959023544,0.9278996865203761,0.379318568937075,0.029704691173052286,0.44006168255842804,0.12587536784591544,0.02503968948552964,0.8275862068965517,0.03134796238244514,0.07210031347962383,0.012539184952978056,1.3887147335423198,7.990595611285267,3.508178113461774,10.099759372691336,0.5576519916142558,0.29153605015673983,12.847072401260412,17.222057776101895,19.88888888888889,5.230197396012796
olde-Seattleite,42.718045112781944,0.9402673350041771,0.04824561403508772,4.068713450292398,8.832080200501252,5.0,0.017543859649122806,0.826118797047425,0.00745228445392851,0.01697189215545529,0.09406659596272392,0.0553904303804674,1.5739348370927317,0.37792069384852256,0.3392602543497359,0.19118267406532788,0.07783694292449915,0.013799434811915137,0.7477025898078532,0.02464494569757728,0.1370091896407686,0.04511278195488721,1.7117794486215538,8.969924812030076,12.437592532178435,19.083480435489385,0.5253807106598983,0.0,16.329071710472835,19.901207664884133,15.023695054945055,6.37796234772979
