-122.31788279999999,"0    4.379739
Name: distance.value, dtype: float64",5009 Roosevelt Way Northeast,4.3,47.665244200000004,ChIJVZZq9mAUkFQRRAHfUiu_sc0,Seattle,University Branch - The Seattle Public Library,,,,,,,,,library,
-122.30240149999999,"0    1.939714
Name: distance.value, dtype: float64",2401 24th Avenue East,4.4,47.6405196,ChIJU2vyhcMUkFQRG9TOL-sJups,Seattle,Montlake Branch - The Seattle Public Library,,,,,,,,,library,
-122.36266499999999,"0    5.554382
Name: distance.value, dtype: float64",400 West Garfield Street,4.4,47.633813599999996,ChIJEw6qRGwVkFQRNJYY6wj_LXY,Seattle,Queen Anne Branch - The Seattle Public Library,,,,,,,,,library,
-122.3389307,"0    4.85954
Name: distance.value, dtype: float64",1501 North 45th Street,4.4,47.6611801,ChIJxZL2KlcUkFQRvMj-zXRI3H0,Seattle,Wallingford Branch - The Seattle Public Library,,,,,,,,,library,
-122.32278429999998,"0    2.398384
Name: distance.value, dtype: float64",713 8th Avenue South,4.4,47.5962327,ChIJn-krn71qkFQR54uojagWKD8,Seattle,International District/Chinatown Branch - The Seattle Public Library,,,,,,,,,library,
-122.3846956,"0    7.762585
Name: distance.value, dtype: float64",2306 42nd Avenue Southwest,4.1,47.58268870000001,ChIJ3VcWbG9AkFQR-NsDgadjWO4,Seattle,West Seattle Branch - The Seattle Public Library,,,,,,,,,library,
-122.40143570000001,"0    6.886265
Name: distance.value, dtype: float64",2801 34th Avenue West,4.4,47.645323,ChIJVwuub4YVkFQRgmCNdfT17B4,Seattle,Magnolia Branch - The Seattle Public Library,,,,,,,,,library,
-122.3633638,"0    7.472343
Name: distance.value, dtype: float64",5423 Delridge Way Southwest,4.2,47.5531615,ChIJ3aIMp6lBkFQRoIT0hrJlwwk,Seattle,Delridge Branch - The Seattle Public Library,,,,,,,,,library,
-122.2900202,"0    0.594158
Name: distance.value, dtype: float64",1134 33rd Avenue,4.9,47.61267480000001,ChIJ3XHObSdrkFQR1ZG6wstVcZ8,Seattle,Madrona-Sally Goldmark Branch - The Seattle Public Library,,,,,,,,,library,
-122.3050597,"0    0.395898
Name: distance.value, dtype: float64",2001 East Madison Street,3.3,47.6173333,ChIJs2HFItRqkFQR9wboXMU06zM,Seattle,Planned Parenthood - Seattle Health Center,,,,,,,,,hospital,
-122.31244950000001,"0    1.037912
Name: distance.value, dtype: float64",201 16th Avenue East,4.0,47.6195658,ChIJq8vdpSwVkFQRNNnO1BauR9k,Seattle,Kaiser Permanente Capitol Hill Campus,,,,,,,,,hospital,
-122.31043059999999,"0    1.19826
Name: distance.value, dtype: float64",500 17th Avenue,4.3,47.60717879999999,ChIJK1HatMVqkFQR8L5hMyMoq90,Seattle,Swedish Cherry Hill Campus,,,,,,,,,hospital,
-122.32732920000001,"0    1.629584
Name: distance.value, dtype: float64",925 Seneca Street,4.3,47.6099071,ChIJgTtB_LVqkFQRk2T_2wRKgGg,Seattle,Virginia Mason Hospital: Seattle,,,,,,,,,hospital,
-122.32204270000001,"0    1.384711
Name: distance.value, dtype: float64",747 Broadway,3.7,47.608894299999996,ChIJK1HatMVqkFQRLSEF-lkF5L8,Seattle,Swedish First Hill Campus,,,,,,,,,hospital,
-122.304629,"0    1.211933
Name: distance.value, dtype: float64",2101 East Yesler Way,4.6,47.60132900000001,ChIJpYOzD8JqkFQRD_eWTAzVfek,Seattle,Seattle Children's Odessa Brown Children's Clinic,,,,,,,,,hospital,
-122.32965700000001,"0    2.804848
Name: distance.value, dtype: float64",825 Eastlake Avenue East,4.6,47.626721,ChIJpdvcrzoVkFQRxOKA5KBrPYU,Seattle,Seattle Cancer Care Alliance,,,,,,,,,hospital,
-122.32190779999999,"0    1.385333
Name: distance.value, dtype: float64",747 Broadway,3.7,47.6088664,ChIJIaimVchqkFQROvSZca1wkjo,Seattle,Swedish,,,,,,,,,hospital,
