block_group,mode,departure_time,distance,duration,destination,lat,lon,address,class,type,city,rating
530330016002,bicycling,2018-07-26 07:00:00-07:00,0.8993163455562461,6.5166666666666675,Safeway,47.689676399999996,-122.3761332,8340 15th Avenue Northwest,supermarket,,Seattle,3.8
530330053021,bicycling,2018-07-26 07:00:00-07:00,5.0876320696084525,37.85,Downtown Pioneer Square,47.601651000000004,-122.334226,,citywide,Major Employment Area,,
530330056005,bicycling,2018-07-26 07:00:00-07:00,4.973896830329397,30.73333333333333,Westlake Center,47.611603,-122.33691,,citywide,Transit Hub,,
530330102001,bicycling,2018-07-26 07:00:00-07:00,7.300186451211933,49.13333333333333,Westlake Center,47.611603,-122.33691,,citywide,Transit Hub,,
530330053012,bicycling,2018-07-26 07:00:00-07:00,0.13300186451211932,0.75,Walgreens Pharmacy,47.6646422,-122.31493359999999,1205 Northeast 50th Street,pharmacy,,Seattle,4.0
530330047003,bicycling,2018-07-26 07:00:00-07:00,5.2927284027346175,37.016666666666666,Westlake Center,47.611603,-122.33691,,citywide,Transit Hub,,
530330086003,bicycling,2018-07-26 07:00:00-07:00,9.76382846488502,70.08333333333333,Bellevue-Square,47.615522999999996,-122.199049,,citywide,Major Employment Area,,
530330115002,bicycling,2018-07-26 07:00:00-07:00,0.7134866376631448,3.316666666666667,Roxhill Elementary School,47.518267,-122.37090790000002,9430 30th Avenue Southwest,school,,Seattle,4.1
530330098001,bicycling,2018-07-26 07:00:00-07:00,0.3250466128029832,2.1166666666666667,West Seattle Branch - The Seattle Public Library,47.582688700000006,-122.3846956,2306 42nd Avenue Southwest,library,,Seattle,4.1
530330074023,bicycling,2018-07-26 07:00:00-07:00,1.6270975761342448,13.216666666666667,Downtown Pioneer Square,47.601651000000004,-122.334226,,citywide,Major Employment Area,,
530330024001,bicycling,2018-07-26 07:00:00-07:00,1.9490366687383467,15.416666666666664,Safeway,47.681971000000004,-122.3170003,7300 Roosevelt Way Northeast,supermarket,,Seattle,4.0
530330039001,bicycling,2018-07-26 07:00:00-07:00,1.2790553138595402,6.683333333333334,Seattle Children's Hospital- Heart Center,47.663071,-122.282807,4800 Sand Point Way Northeast,hospital,,Seattle,4.8
530330014003,bicycling,2018-07-26 07:00:00-07:00,6.662523306401492,39.78333333333333,South Lake Union,47.61880896,-122.3379719,,urban_village,,,
530330014003,bicycling,2018-07-26 07:00:00-07:00,6.662523306401492,39.78333333333333,South Lake Union,47.622933,-122.33710500000001,,citywide,Major Employment Area,,
530330070001,bicycling,2018-07-26 07:00:00-07:00,0.7949036668738346,4.7,Queen Anne Elementary School,47.6379287,-122.3489372,411 Boston Street,school,,Seattle,5.0
530330042001,bicycling,2018-07-26 07:00:00-07:00,13.71286513362337,90.81666666666666,South Seattle College,47.54841,-122.352194,,citywide,College,,
530330034002,bicycling,2018-07-26 07:00:00-07:00,0.9322560596643878,6.833333333333332,Greenwood Elementary School,47.68735,-122.35983610000001,144 Northwest 80th Street,school,,Seattle,4.4
530330032007,bicycling,2018-07-26 07:00:00-07:00,6.5922933499067735,34.6,University of Washington,47.655614,-122.30521100000001,,citywide,Major Employment Area,,
530330011002,bicycling,2018-07-26 07:00:00-07:00,11.452454940957114,70.3,Bellevue-Square,47.615522999999996,-122.199049,,citywide,Major Employment Area,,
530330089002,bicycling,2018-07-26 07:00:00-07:00,1.6606587942821631,10.85,United States Postal Service,47.6125599,-122.3021842,1150 23rd Avenue,post_office,,Seattle,2.2
530330081003,bicycling,2018-07-26 07:00:00-07:00,0.3467992541951523,4.383333333333334,Commercial Core,47.60779193,-122.3357634,,urban_village,,,
530330060003,bicycling,2018-07-26 07:00:00-07:00,0.4785581106277191,4.916666666666667,McClure Middle School,47.636736600000006,-122.3589594,1915 1st Avenue West,school,,Seattle,2.0
530330068002,bicycling,2018-07-26 07:00:00-07:00,6.240522063393412,42.016666666666666,North Seattle College,47.699252,-122.33352,,citywide,College,,
530330030002,bicycling,2018-07-26 07:00:00-07:00,2.9912989434431325,18.983333333333334,North Seattle College,47.699252,-122.33352,,citywide,College,,
530330069003,bicycling,2018-07-26 07:00:00-07:00,7.956494717215662,53.8,South Seattle College,47.54841,-122.352194,,citywide,College,,
530330067004,bicycling,2018-07-26 07:00:00-07:00,4.09136109384711,27.6,King Street Station,47.598939,-122.329158,,citywide,Transit Hub,,
530330017013,bicycling,2018-07-26 07:00:00-07:00,2.160969546302051,12.15,Northgate Transit Center,47.702358000000004,-122.32721000000001,,citywide,Transit Hub,,
530330054001,bicycling,2018-07-26 07:00:00-07:00,2.1771286513362336,14.866666666666667,Super Supplements,47.661053,-122.3173771,4336 Roosevelt Way Northeast,supermarket,,Seattle,3.6
530330093001,bicycling,2018-07-26 07:00:00-07:00,3.0341827221876936,23.2,Jefferson Park,47.568994,-122.308655,,destination_park,,,
530330042005,bicycling,2018-07-26 07:00:00-07:00,0.2709757613424487,2.783333333333333,Bryant Corner Cafe,47.6759343,-122.29317900000001,3118 NE 65th St,cafe,,Seattle,4.6
530330058012,bicycling,2018-07-26 07:00:00-07:00,4.57302672467371,27.6,South Lake Union,47.61880896,-122.3379719,,urban_village,,,
530330058012,bicycling,2018-07-26 07:00:00-07:00,4.57302672467371,27.6,South Lake Union,47.622933,-122.33710500000001,,citywide,Major Employment Area,,
530330074011,bicycling,2018-07-26 07:00:00-07:00,0.44748290863890616,3.4833333333333334,United States Postal Service,47.620493100000004,-122.32050790000001,212 Broadway East,post_office,,Seattle,2.9
530330094005,bicycling,2018-07-26 07:00:00-07:00,1.214418893722809,10.316666666666666,United States Postal Service,47.598952399999995,-122.3252481,409 Maynard Avenue South Ste 109,post_office,,Seattle,2.6
530330050003,bicycling,2018-07-26 07:00:00-07:00,10.165320074580485,59.66666666666666,Bellevue-Square,47.615522999999996,-122.199049,,citywide,Major Employment Area,,
530330041003,bicycling,2018-07-26 07:00:00-07:00,7.042262274704785,49.2,First Hill,47.60790794,-122.3260425,,urban_village,,,
530330041003,bicycling,2018-07-26 07:00:00-07:00,7.042262274704785,49.2,First Hill,47.609421999999995,-122.32512,,citywide,Major Employment Area,,
530330088002,bicycling,2018-07-26 07:00:00-07:00,0.6525792417650714,6.35,"David W Newell, MD - Seattle Neuroscience Institute",47.6074024,-122.3097425,550 17th Avenue Ste 240,hospital,,Seattle,4.5
530330076002,bicycling,2018-07-26 07:00:00-07:00,0.23119950279676815,2.583333333333333,Dunshee Medical,47.6206807,-122.31042009999999,303 17th Avenue East,hospital,,Seattle,4.5
530330060001,bicycling,2018-07-26 07:00:00-07:00,1.201367308887508,13.316666666666665,McClure Middle School,47.636736600000006,-122.3589594,1915 1st Avenue West,school,,Seattle,2.0
530330050001,bicycling,2018-07-26 07:00:00-07:00,0.2367930391547545,2.3,Wallingford,47.66116735,-122.3394145,,urban_village,,,
530330032004,bicycling,2018-07-26 07:00:00-07:00,1.5643256681168427,9.55,Trader Joe's,47.6628098,-122.37454809999998,4609 14th Avenue Northwest,supermarket,,Seattle,4.5
530330110011,bicycling,2018-07-26 07:00:00-07:00,2.300807955251709,14.25,Seward Park,47.550034000000004,-122.257778,,destination_park,,,
530330101005,bicycling,2018-07-26 07:00:00-07:00,1.2902423865755128,8.666666666666666,QFC,47.5790718,-122.2990852,25th Avenue South,supermarket,,Seattle,4.3
530330006005,bicycling,2018-07-26 07:00:00-07:00,0.5599751398384089,3.4166666666666665,The Bridge Coffee House,47.71743729999999,-122.3323231,2134 North 122nd Street,cafe,,Seattle,4.7
530330050003,bicycling,2018-07-26 07:00:00-07:00,3.5730267246737104,20.58333333333333,University of Washington,47.655614,-122.30521100000001,,citywide,Major Employment Area,,
530330036002,bicycling,2018-07-26 07:00:00-07:00,2.3530142945929153,15.9,University of Washington,47.655614,-122.30521100000001,,citywide,Major Employment Area,,
530330049002,bicycling,2018-07-26 07:00:00-07:00,4.161591050341826,34.833333333333336,King Street Station,47.598939,-122.329158,,citywide,Transit Hub,,
530330265001,bicycling,2018-07-26 07:00:00-07:00,6.84213797389683,39.91666666666666,King Street Station,47.598939,-122.329158,,citywide,Transit Hub,,
530330060001,bicycling,2018-07-26 07:00:00-07:00,0.673088875077688,5.15,Psychiatric Medicine Associates,47.6323485,-122.34145320000002,1505 Westlake Avenue North,hospital,,Seattle,3.6
530330010001,bicycling,2018-07-26 07:00:00-07:00,15.330640149160967,105.65,South Seattle College,47.54841,-122.352194,,citywide,College,,
530330051002,bicycling,2018-07-26 07:00:00-07:00,0.7091361093847109,5.2,United States Postal Service,47.6624631,-122.34102309999999,1329 North 47th Street,post_office,,Seattle,2.4
530330049002,bicycling,2018-07-26 07:00:00-07:00,1.2113113735239278,11.566666666666665,Hamilton International Middle School,47.6571808,-122.33791370000002,1610 North 41st Street,school,,Seattle,3.2
530330096003,bicycling,2018-07-26 07:00:00-07:00,7.851460534493474,52.63333333333333,First Hill,47.60790794,-122.3260425,,urban_village,,,
530330096003,bicycling,2018-07-26 07:00:00-07:00,7.851460534493474,52.63333333333333,First Hill,47.609421999999995,-122.32512,,citywide,Major Employment Area,,
530330048002,bicycling,2018-07-26 07:00:00-07:00,0.6706028589185831,4.116666666666666,US Post Office,47.6617343,-122.369676,4501 9th Avenue Northwest,post_office,,Seattle,1.4
530330113002,bicycling,2018-07-26 07:00:00-07:00,8.449347420758235,55.55,First Hill,47.60790794,-122.3260425,,urban_village,,,
530330113002,bicycling,2018-07-26 07:00:00-07:00,8.449347420758235,55.55,First Hill,47.609421999999995,-122.32512,,citywide,Major Employment Area,,
530330106006,bicycling,2018-07-26 07:00:00-07:00,1.7532628962088252,12.35,Swedish West Seattle Primary Care,47.572901,-122.38641100000001,3400 California Avenue Southwest #300,hospital,,Seattle,3.3
530330059005,bicycling,2018-07-26 07:00:00-07:00,0.27221876942200124,2.3833333333333333,S & L Cafe,47.6394278,-122.364722,535 West McGraw Street,cafe,,Seattle,4.4
530330051002,bicycling,2018-07-26 07:00:00-07:00,0.4661280298321939,4.383333333333334,QFC,47.661872100000004,-122.33602520000001,1801 North 45th Street,supermarket,,Seattle,4.2
530330054004,bicycling,2018-07-26 07:00:00-07:00,5.028589185829708,36.18333333333333,Seattle Central College,47.616587,-122.321611,,citywide,College,,
530330007002,bicycling,2018-07-26 07:00:00-07:00,1.2044748290863891,6.55,John Rogers Elementary School,47.707118,-122.2847571,4030 Northeast 109th Street,school,,Seattle,4.4
530330044001,bicycling,2018-07-26 07:00:00-07:00,1.2970789310130515,7.616666666666666,University of Washington,47.655614,-122.30521100000001,,citywide,Major Employment Area,,
530330011001,bicycling,2018-07-26 07:00:00-07:00,0.9403356121814792,5.1,Nathan Hale High School,47.7075329,-122.2956588,10750 30th Avenue Northeast,school,,Seattle,4.2
530330031004,bicycling,2018-07-26 07:00:00-07:00,4.798011187072715,32.333333333333336,Northgate Transit Center,47.702358000000004,-122.32721000000001,,citywide,Transit Hub,,
